buildingRoute,BMSPointName,Master,Controller,PointName,System,System display name,Description,Units,Sample
Rudin345Park\\BCX9th\\NWSecWater9th,PumpStatus.P18,BCX9th,NWSecWater9th,P18-PumpStatus,9NW2WS,Floor 9 NorthWest Secondary Water System ,Pump Run Status,None,On
Rudin345Park\\BCX9th\\InteriorReheat9,PumpStatus.P19,BCX9th,InteriorReheat9,P19-PumpStatus,9WIntRH,Floor 9 Internal Water Reheat,Pump Run Status,None,On
Rudin345Park\\BCX34th\\MCC_34th_CWPumps,PumpStatus.P2,BCX34th,MCC_34th_CWPumps,P2-PumpStatus,MCW,Main Chilled Water,Pump Run Status,None,On
Rudin345Park\\BCX9th\\InteriorReheat9,PumpStatus.P20,BCX9th,InteriorReheat9,P20-PumpStatus,9WIntRH,Floor 9 Internal Water Reheat,Pump Run Status,None,Off
Rudin345Park\\BCXCellar\\InteriorReheatC,PumpStatus.P23,BCXCellar,InteriorReheatC,P23-PumpStatus,CWIntRH,Level C Internal Water Reheat,Pump Run Status,None,Off
Rudin345Park\\BCXCellar\\InteriorReheatC,PumpStatus.P24,BCXCellar,InteriorReheatC,P24-PumpStatus,CWIntRH,Level C Internal Water Reheat,Pump Run Status,None,Off
Rudin345Park\\BCXCellar\\PerimeterHeating,PumpStatus.P25,BCXCellar,PerimeterHeating,P25-PumpStatus,CWPerRH,Level C Perimeter Water Reheat,Pump Run Status,None,Off
Rudin345Park\\BCXCellar\\PerimeterHeating,PumpStatus.P26,BCXCellar,PerimeterHeating,P26-PumpStatus,CWPerRH,Level C Perimeter Water Reheat,Pump Run Status,None,Off
Rudin345Park\\BCX34th\\MCC_34th_CWPumps,PumpStatus.P3,BCX34th,MCC_34th_CWPumps,P3-PumpStatus,MCW,Main Chilled Water,Pump Run Status,None,On
Rudin345Park\\BCX34th\\TenantCT1,PumpStatus.P33,BCX34th,TenantCT1,P33-PumpStatus,TCT1,Tenant Cooling Tower 1,Pump Run Status,None,Off
Rudin345Park\\BCX34th\\TenantCT1,PumpStatus.P34,BCX34th,TenantCT1,P34-PumpStatus,TCT1,Tenant Cooling Tower 1,Pump Run Status,None,On
Rudin345Park\\BCX34th\\TenantCT1,PumpStatus.P35,BCX34th,TenantCT1,P35-PumpStatus,TCT1,Tenant Cooling Tower 1,Pump Run Status,None,On
Rudin345Park\\BCX34th\\TenantCT1,PumpStatus.P36,BCX34th,TenantCT1,P36-PumpStatus,TCT1,Tenant Cooling Tower 1,Pump Run Status,None,On
Rudin345Park\\BCX34th\\TenantCT1,PumpStatus.P37,BCX34th,TenantCT1,P37-PumpStatus,TCT1,Tenant Cooling Tower 1,Pump Run Status,None,Off
Rudin345Park\\BCX34th\\TenantCT2,PumpStatus.P38,BCX34th,TenantCT2,P38-PumpStatus,TCT2,Tenant Cooling Tower 2,Pump Run Status,None,On
Rudin345Park\\BCX34th\\TenantCT2,PumpStatus.P39,BCX34th,TenantCT2,P39-PumpStatus,TCT2,Tenant Cooling Tower 2,Pump Run Status,None,Off
Rudin345Park\\BCX34th\\MCC_34th_CWPumps,PumpStatus.P4,BCX34th,MCC_34th_CWPumps,P4-PumpStatus,MCW,Main Chilled Water,Pump Run Status,None,On
Rudin345Park\\BCX34th\\TenantCT2,PumpStatus.P40,BCX34th,TenantCT2,P40-PumpStatus,TCT2,Tenant Cooling Tower 2,Pump Run Status,None,On
Rudin345Park\\BCX34th\\MainChilledWater,PumpStatus.P5,BCX34th,MainChilledWater,P5-PumpStatus,MCW,Main Chilled Water,Pump Run Status,None,On
Rudin345Park\\BCX34th\\MainChilledWater,PumpStatus.P6,BCX34th,MainChilledWater,P6-PumpStatus,MCW,Main Chilled Water,Pump Run Status,None,On
Rudin345Park\\BCX34th\\MainChilledWater,PumpStatus.P7,BCX34th,MainChilledWater,P7-PumpStatus,MCW,Main Chilled Water,Pump Run Status,None,On
Rudin345Park\\BCX34th\\MainChilledWater,PumpStatus.P8,BCX34th,MainChilledWater,P8-PumpStatus,MCW,Main Chilled Water,Pump Run Status,None,On
Rudin345Park\\BCX34th\\SESecondaryWater,PumpStatus.P9,BCX34th,SESecondaryWater,P9-PumpStatus,34SE2WS,Floor,Pump Run Status,None,On
Rudin345Park\\BCX34th\\PrimaryFanS_1.2,RCHTempEast,BCX34th,PrimaryFanS_1.2,S1-Reheat^E,S1,,Reheat Temperature,Fahrenheit,55.3
Rudin345Park\\BCX9th\\PrimaryFanS_7.2,RCHTempEast,BCX9th,PrimaryFanS_7.2,S7-Reheat^E,S7,,Reheat Temperature,ÁF,56.2
Rudin345Park\\BCX9th\\PrimaryFanS_8.2,RCHTempNorth,BCX9th,PrimaryFanS_8.2,S8-Reheat^N,S8,,Reheat Temperature,ÁF,56.2
Rudin345Park\\BCX34th\\PrimaryFanS_2.2,RCHTempNorth,BCX34th,PrimaryFanS_2.2,S2-Reheat^N,S2,,Reheat Temperature,ÁF,56.5
Rudin345Park\\BCX34th\\PrimaryFanS_1.2,RCHTempSouth,BCX34th,PrimaryFanS_1.2,S1-Reheat^S,S1,,Reheat Temperature,ÁF,55.3
Rudin345Park\\BCX9th\\PrimaryFanS_7.2,RCHTempSouth,BCX9th,PrimaryFanS_7.2,S7-Reheat^S,S7,,Reheat Temperature,ÁF,56.9
Rudin345Park\\BCX9th\\PrimaryFanS_8.2,RCHTempWest,BCX9th,PrimaryFanS_8.2,S8-Reheat^W,S8,,Reheat Temperature,ÁF,56.3
Rudin345Park\\BCX34th\\PrimaryFanS_2.2,RCHTempWest,BCX34th,PrimaryFanS_2.2,S2-Reheat^W,S2,,Reheat Temperature,ÁF,56.5
Rudin345Park\\BCX34th\\InteriorFanS_4.2,ReturnCO2.F1,BCX34th,InteriorFanS_4.2,F1-ReturnCO2,S4,,Return CO2 Level,PPM,685
Rudin345Park\\BCX9th\\InteriorFanS_9,ReturnCO2.F10,BCX9th,InteriorFanS_9,F10-ReturnCO2,S9,,Return CO2 Level,PPM,650.3
Rudin345Park\\BCX9th\\InteriorFanS_12,ReturnCO2.F11,BCX9th,InteriorFanS_12,F11-ReturnCO2,S12,,Return CO2 Level,PPM,806
Rudin345Park\\BCX9th\\InteriorFanS_11,ReturnCO2.F12,BCX9th,InteriorFanS_11,F12-ReturnCO2,S11,,Return CO2 Level,PPM,705
Rudin345Park\\BCXCellar\\InteriorFanS_13,ReturnCO2.F17,BCXCellar,InteriorFanS_13,F17-ReturnCO2,S13,,Return CO2 Level,PPM,707.5
