buildingRoute,BMSPointName,Master,Controller,PointName,System,System display name,Description,Units,Sample
Rudin345Park\\BCX9th\\FloorDamper24th,SpaceTempS,BCX9th,FloorDamper24th,SpaceTemp-24^S,S1,,Space Temperature South,Fahrenheit,75.8
Rudin345Park\\BCX9th\\FloorDamper24th,SpaceTempSE,BCX9th,FloorDamper24th,SpaceTemp-24^SE,S6,,Space Temperature South East,Fahrenheit,73.9
Rudin345Park\\BCX9th\\FloorDamper20th,SpaceTempSE,BCX9th,FloorDamper20th,SpaceTemp-20^SE,S6,,Space Temperature South East,Fahrenheit,72.8
Rudin345Park\\BCX9th\\FloorDamper33rd,SpaceTempSE,BCX9th,FloorDamper33rd,SpaceTemp-33^SE,S6,,Space Temperature South East,Fahrenheit,-327.7
Rudin345Park\\BCX9th\\FloorDamper22nd1,SpaceTempSE,BCX9th,FloorDamper22nd1,SpaceTemp-22^SE,S6,,Space Temperature South East,Fahrenheit,73
Rudin345Park\\BCX9th\\FloorDamper32nd2,SpaceTempSE,BCX9th,FloorDamper32nd2,SpaceTemp-32^SE,S6,,Space Temperature South East,Fahrenheit,73.7
Rudin345Park\\BCX9th\\FloorDamper13th1,SpaceTempSE,BCX9th,FloorDamper13th1,SpaceTemp-13^SE,S11,,Space Temperature South East,Fahrenheit,75.8
Rudin345Park\\BCX9th\\FloorDamper18th,SpaceTempSE,BCX9th,FloorDamper18th,SpaceTemp-18^SE,S11,,Space Temperature South East,Fahrenheit,72.5
Rudin345Park\\BCX34th\\FloorDamper40th,SpaceTempSE,BCX34th,FloorDamper40th,SpaceTemp-40^SE,S5,,Space Temperature South East,Fahrenheit,74.1
Rudin345Park\\BCX34th\\FloorDamper36th,SpaceTempSE,BCX34th,FloorDamper36th,SpaceTemp-36^SE,S5,,Space Temperature South East,Fahrenheit,74.7
Rudin345Park\\BCX34th\\FloorDamper35th,SpaceTempSE,BCX34th,FloorDamper35th,SpaceTemp-35^SE,S5,,Space Temperature South East,Fahrenheit,72.8
Rudin345Park\\BCX34th\\FloorDamper38th,SpaceTempSE,BCX34th,FloorDamper38th,SpaceTemp-38^SE,S5,,Space Temperature South East,Fahrenheit,76.5
Rudin345Park\\BCXCellar\\FloorDamper2nd,SpaceTempSE,BCXCellar,FloorDamper2nd,SpaceTemp-2^SE,S12,,Space Temperature South East,Fahrenheit,75.3
Rudin345Park\\BCXCellar\\FloorDamper4th2,SpaceTempSE,BCXCellar,FloorDamper4th2,SpaceTemp-4^SE,S12,,Space Temperature South East,Fahrenheit,73.5
Rudin345Park\\BCXCellar\\FloorDamper5th2,SpaceTempSE,BCXCellar,FloorDamper5th2,SpaceTemp-5^SE,S12,,Space Temperature South East,Fahrenheit,73.7
Rudin345Park\\BCXCellar\\FloorDamper5th2,SpaceTempSW,BCXCellar,FloorDamper5th2,SpaceTemp-5^SW,S10,,Space Temperature South West,Fahrenheit,72.8
Rudin345Park\\BCXCellar\\FloorDamper4th2,SpaceTempSW,BCXCellar,FloorDamper4th2,SpaceTemp-4^SW,S10,,Space Temperature South West,Fahrenheit,74.2
Rudin345Park\\BCXCellar\\FloorDamper2nd,SpaceTempSW,BCXCellar,FloorDamper2nd,SpaceTemp-2^SW,S10,,Space Temperature South West,Fahrenheit,74.6
Rudin345Park\\BCX34th\\FloorDamper38th,SpaceTempSW,BCX34th,FloorDamper38th,SpaceTemp-38^SW,S3,,Space Temperature South West,Fahrenheit,75.3
Rudin345Park\\BCX34th\\FloorDamper35th,SpaceTempSW,BCX34th,FloorDamper35th,SpaceTemp-35^SW,S3,,Space Temperature South West,Fahrenheit,75.6
Rudin345Park\\BCX34th\\FloorDamper36th,SpaceTempSW,BCX34th,FloorDamper36th,SpaceTemp-36^SW,S3,,Space Temperature South West,Fahrenheit,71.5
Rudin345Park\\BCX34th\\FloorDamper40th,SpaceTempSW,BCX34th,FloorDamper40th,SpaceTemp-40^SW,S3,,Space Temperature South West,Fahrenheit,72.5
Rudin345Park\\BCX9th\\FloorDamper18th,SpaceTempSW,BCX9th,FloorDamper18th,SpaceTemp-18^SW,S9,,Space Temperature South West,Fahrenheit,74.1
Rudin345Park\\BCX9th\\FloorDamper13th1,SpaceTempSW,BCX9th,FloorDamper13th1,SpaceTemp-13^SW,S9,,Space Temperature South West,Fahrenheit,73.9
Rudin345Park\\BCX9th\\FloorDamper32nd2,SpaceTempSW,BCX9th,FloorDamper32nd2,SpaceTemp-32^SW,S4,,Space Temperature South West,Fahrenheit,75.6
Rudin345Park\\BCX9th\\FloorDamper22nd1,SpaceTempSW,BCX9th,FloorDamper22nd1,SpaceTemp-22^SW,S4,,Space Temperature South West,Fahrenheit,74.9
Rudin345Park\\BCX9th\\FloorDamper33rd,SpaceTempSW,BCX9th,FloorDamper33rd,SpaceTemp-33^SW,S4,,Space Temperature South West,Fahrenheit,-327.7
Rudin345Park\\BCX9th\\FloorDamper20th,SpaceTempSW,BCX9th,FloorDamper20th,SpaceTemp-20^SW,S4,,Space Temperature South West,Fahrenheit,72
Rudin345Park\\BCX9th\\FloorDamper24th,SpaceTempSW,BCX9th,FloorDamper24th,SpaceTemp-24^SW,S4,,Space Temperature South West,Fahrenheit,74.7
Rudin345Park\\BCX9th\\FloorDamper24th,SpaceTempW,BCX9th,FloorDamper24th,SpaceTemp-5^SW,S10,,Space Temperature South West,Fahrenheit,75.3
Rudin345Park\\BCX9th\\FloorDamper20th,SpaceTempW,BCX9th,FloorDamper20th,SpaceTemp-20^SW,S2,,Space Temperature South West,Fahrenheit,75.3
Rudin345Park\\BCX9th\\FloorDamper13th2,SpaceTempW,BCX9th,FloorDamper13th2,SpaceTemp-13^SW,S8,,Space Temperature South West,Fahrenheit,76.1
Rudin345Park\\BCX34th\\FloorDamper38th,SpaceTempW,BCX34th,FloorDamper38th,SpaceTemp-38^SW,S2,,Space Temperature South West,Fahrenheit,70.8
Rudin345Park\\BCXCellar\\FloorDamper2nd,SpaceTempW,BCXCellar,FloorDamper2nd,SpaceTemp-2^SW,S8,,Space Temperature South West,Fahrenheit,71.1
Rudin345Park\\BCXCellar\\FloorDamper4th1,SpaceTempW,BCXCellar,FloorDamper4th1,SpaceTemp-4^SW,S8,,Space Temperature South West,Fahrenheit,75.4
Rudin345Park\\BCXCellar\\MCC.West1,SumpPitHigh,BCXCellar,MCC.West1,Misc-SumpPitHighC,Misc,,Sump Pit High C Level,None,Off
Rudin345Park\\BCXCellar\\InteriorFanS_22,SupplyFanStatus,BCXCellar,InteriorFanS_22,S22-SupplyFanStatus,S22,,Supply Fan Run Status,None,On
Rudin345Park\\BCXCellar\\InteriorFanS_20,SupplyFanStatus,BCXCellar,InteriorFanS_20,S20-SupplyFanStatus,S20,,Supply Fan Run Status,None,On
Rudin345Park\\BCXCellar\\InteriorFanS_21,SupplyFanStatus,BCXCellar,InteriorFanS_21,S21-SupplyFanStatus,S21,,Supply Fan Run Status,None,On
Rudin345Park\\BCXCellar\\InteriorFanS_13,SupplyFanStatus,BCXCellar,InteriorFanS_13,S13-SupplyFanStatus,S13,,Supply Fan Run Status,None,On
Rudin345Park\\BCXCellar\\InteriorFanS_14,SupplyFanStatus,BCXCellar,InteriorFanS_14,S14-SupplyFanStatus,S14,,Supply Fan Run Status,None,On
Rudin345Park\\BCXCellar\\InteriorFanS_15,SupplyFanStatus,BCXCellar,InteriorFanS_15,S15-SupplyFanStatus,S15,,Supply Fan Run Status,None,On
Rudin345Park\\BCXCellar\\InteriorFanS_16,SupplyFanStatus,BCXCellar,InteriorFanS_16,S16-SupplyFanStatus,S16,,Supply Fan Run Status,None,On
Rudin345Park\\BCXCellar\\InteriorFanS_17,SupplyFanStatus,BCXCellar,InteriorFanS_17,S17-SupplyFanStatus,S17,,Supply Fan Run Status,None,On
Rudin345Park\\BCXCellar\\InteriorFanS_18,SupplyFanStatus,BCXCellar,InteriorFanS_18,S18-SupplyFanStatus,S18,,Supply Fan Run Status,None,On
Rudin345Park\\BCXCellar\\InteriorFanS_19,SupplyFanStatus,BCXCellar,InteriorFanS_19,S19-SupplyFanStatus,S19,,Supply Fan Run Status,None,On
Rudin345Park\\BCX9th\\InteriorFanS_9,SupplyFanStatus,BCX9th,InteriorFanS_9,S9-SupplyFanStatus,S9,,Supply Fan Run Status,None,On
Rudin345Park\\BCX9th\\InteriorFanS_12,SupplyFanStatus,BCX9th,InteriorFanS_12,S12-SupplyFanStatus,S12,,Supply Fan Run Status,None,On
Rudin345Park\\BCX9th\\InteriorFanS_11,SupplyFanStatus,BCX9th,InteriorFanS_11,S11-SupplyFanStatus,S11,,Supply Fan Run Status,None,On
Rudin345Park\\BCX9th\\PrimaryFanS_8.1,SupplyFanStatus,BCX9th,PrimaryFanS_8.1,S8-SupplyFanStatus,S8,,Supply Fan Run Status,None,On
Rudin345Park\\BCX9th\\PrimaryFanS_7.1,SupplyFanStatus,BCX9th,PrimaryFanS_7.1,S7-SupplyFanStatus,S7,,Supply Fan Run Status,None,On
Rudin345Park\\BCX34th\\PrimaryFanS_2.1,SupplyFanStatus,BCX34th,PrimaryFanS_2.1,S2-SupplyFanStatus,S2,,Supply Fan Run Status,None,On
Rudin345Park\\BCX34th\\InteriorFanS_5,SupplyFanStatus,BCX34th,InteriorFanS_5,S5-SupplyFanStatus,S5,,Supply Fan Run Status,None,On
Rudin345Park\\BCX34th\\InteriorFanS_3,SupplyFanStatus,BCX34th,InteriorFanS_3,S3-SupplyFanStatus,S3,,Supply Fan Run Status,None,On
Rudin345Park\\BCX34th\\InteriorFanS_4.1,SupplyFanStatus,BCX34th,InteriorFanS_4.1,S4-SupplyFanStatus,S4,,Supply Fan Run Status,None,On
Rudin345Park\\BCX34th\\InteriorFanS_6.1,SupplyFanStatus,BCX34th,InteriorFanS_6.1,S6-SupplyFanStatus,S6,,Supply Fan Run Status,None,On
Rudin345Park\\BCX34th\\PrimaryFanS_1.1,SupplyFanStatus,BCX34th,PrimaryFanS_1.1,S1-SupplyFanStatus,S1,,Supply Fan Run Status,None,On
Rudin345Park\\BCX9th\\InteriorFanS_10,SupplyFanStatus,BCX9th,InteriorFanS_10,S10-SupplyFanStatus,S10,,Supply Fan Run Status,None,On
Rudin345Park\\BCX9th\\InteriorFanS_10,SupplyTemp,BCX9th,InteriorFanS_10,S10-SupplyAirTemp,S10,,Supply Air Temperature,Fahrenheit,60.4
Rudin345Park\\BCX34th\\InteriorFanS_6.1,SupplyTemp,BCX34th,InteriorFanS_6.1,S6-SupplyAirTemp,S6,,Supply Air Temperature,Fahrenheit,60.1
Rudin345Park\\BCX34th\\InteriorFanS_4.1,SupplyTemp,BCX34th,InteriorFanS_4.1,S4-SupplyAirTemp,S4,,Supply Air Temperature,Fahrenheit,60
Rudin345Park\\BCX34th\\InteriorFanS_3,SupplyTemp,BCX34th,InteriorFanS_3,S3-SupplyAirTemp,S3,,Supply Air Temperature,Fahrenheit,58.2
Rudin345Park\\BCX34th\\PrimaryFanS_1.1,SupplyTemp,BCX34th,PrimaryFanS_1.1,S1-SupplyAirTemp,S1,,Supply Air Temperature,Fahrenheit,54.8
Rudin345Park\\BCX34th\\InteriorFanS_5,SupplyTemp,BCX34th,InteriorFanS_5,S5-SupplyAirTemp,S5,,Supply Air Temperature,Fahrenheit,59.6
Rudin345Park\\BCX34th\\PrimaryFanS_2.1,SupplyTemp,BCX34th,PrimaryFanS_2.1,S2-SupplyAirTemp,S2,,Supply Air Temperature,Fahrenheit,56.2
Rudin345Park\\BCX9th\\PrimaryFanS_7.1,SupplyTemp,BCX9th,PrimaryFanS_7.1,S7-SupplyAirTemp,S7,,Supply Air Temperature,Fahrenheit,54.4
Rudin345Park\\BCX9th\\PrimaryFanS_8.1,SupplyTemp,BCX9th,PrimaryFanS_8.1,S8-SupplyAirTemp,S8,,Supply Air Temperature,Fahrenheit,55.5
Rudin345Park\\BCX9th\\InteriorFanS_11,SupplyTemp,BCX9th,InteriorFanS_11,S11-SupplyAirTemp,S11,,Supply Air Temperature,Fahrenheit,59.5
Rudin345Park\\BCX9th\\InteriorFanS_12,SupplyTemp,BCX9th,InteriorFanS_12,S12-SupplyAirTemp,S12,,Supply Air Temperature,Fahrenheit,60
Rudin345Park\\BCX9th\\InteriorFanS_9,SupplyTemp,BCX9th,InteriorFanS_9,S9-SupplyAirTemp,S9,,Supply Air Temperature,Fahrenheit,57.9
Rudin345Park\\BCXCellar\\InteriorFanS_19,SupplyTemp,BCXCellar,InteriorFanS_19,S19-SupplyAirTemp,S19,,Supply Air Temperature,Fahrenheit,60.1
Rudin345Park\\BCXCellar\\InteriorFanS_18,SupplyTemp,BCXCellar,InteriorFanS_18,S18-SupplyAirTemp,S18,,Supply Air Temperature,Fahrenheit,59.7
Rudin345Park\\BCXCellar\\InteriorFanS_17,SupplyTemp,BCXCellar,InteriorFanS_17,S17-SupplyAirTemp,S17,,Supply Air Temperature,Fahrenheit,58.1
Rudin345Park\\BCXCellar\\InteriorFanS_16,SupplyTemp,BCXCellar,InteriorFanS_16,S16-SupplyAirTemp,S16,,Supply Air Temperature,Fahrenheit,61.6
Rudin345Park\\BCXCellar\\InteriorFanS_15,SupplyTemp,BCXCellar,InteriorFanS_15,S15-SupplyAirTemp,S15,,Supply Air Temperature,Fahrenheit,62.5
Rudin345Park\\BCXCellar\\InteriorFanS_14,SupplyTemp,BCXCellar,InteriorFanS_14,S14-SupplyAirTemp,S14,,Supply Air Temperature,Fahrenheit,62
Rudin345Park\\BCXCellar\\InteriorFanS_13,SupplyTemp,BCXCellar,InteriorFanS_13,S13-SupplyAirTemp,S3,,Supply Air Temperature,Fahrenheit,60.2
Rudin345Park\\BCXCellar\\InteriorFanS_21,SupplyTemp,BCXCellar,InteriorFanS_21,S21-SupplyAirTemp,S21,,Supply Air Temperature,Fahrenheit,61.2
Rudin345Park\\BCXCellar\\InteriorFanS_20,SupplyTemp,BCXCellar,InteriorFanS_20,S20-SupplyirTemp,S20,,Supply Air Temperature,Fahrenheit,64.4
Rudin345Park\\BCXCellar\\InteriorFanS_22,SupplyTemp,BCXCellar,InteriorFanS_22,S22-SupplyAirTemp,S22,,Supply Air Temperature,Fahrenheit,63.1
Rudin345Park\\BCXDiBoss\\InductionUnit33,Unit1SupplyTemp,BCXDiBoss,InductionUnit33,IU1-SupplyAirTemp,Misc,,Supply Air Temperature Induction Unit 1 33rd Floor,Fahrenheit,
Rudin345Park\\BCXDiBoss\\InductionUnit33,Unit2SupplyTemp,BCXDiBoss,InductionUnit33,IU2-SupplyAirTemp,Misc,,Supply Air Temperature Induction Unit 2 33rd Floor,Fahrenheit,
Rudin345Park\\BCX34th\\PrimaryFanS_2.1,CoolingValve,BCX34th,PrimaryFanS_2.1,S1-CoolingValve,S1,,Chilled Water Valve Command,% ,100.00%
Rudin345Park\\BCX34th\\InteriorFanS_5,CoolingValve,BCX34th,InteriorFanS_5,S10-CoolingValve,S10,,Chilled Water Valve Command,% ,100.00%
Rudin345Park\\BCX34th\\InteriorFanS_4.1,CoolingValve,BCX34th,InteriorFanS_4.1,S11-CoolingValve,S11,,Chilled Water Valve Command,% ,65.50%
Rudin345Park\\BCX34th\\InteriorFanS_3,CoolingValve,BCX34th,InteriorFanS_3,S12-CoolingValve,S12,,Chilled Water Valve Command,% ,63.00%
Rudin345Park\\BCX34th\\InteriorFanS_6.1,CoolingValve,BCX34th,InteriorFanS_6.1,S13-CoolingValve,S13,,Chilled Water Valve Command,% ,35.30%
Rudin345Park\\BCX34th\\PrimaryFanS_1.1,CoolingValve,BCX34th,PrimaryFanS_1.1,S14-CoolingValve,S14,,Chilled Water Valve Command,% ,75.30%
Rudin345Park\\BCX9th\\InteriorFanS_10,CoolingValve,BCX9th,InteriorFanS_10,S15-CoolingValve,S15,,Chilled Water Valve Command,% ,34.10%
Rudin345Park\\BCX9th\\InteriorFanS_11,CoolingValve,BCX9th,InteriorFanS_11,S16-CoolingValve,S16,,Chilled Water Valve Command,% ,7.80%
Rudin345Park\\BCX9th\\InteriorFanS_12,CoolingValve,BCX9th,InteriorFanS_12,S17-CoolingValve,S17,,Chilled Water Valve Command,% ,19.30%
Rudin345Park\\BCX9th\\InteriorFanS_9,CoolingValve,BCX9th,InteriorFanS_9,S18-CoolingValve,S18,,Chilled Water Valve Command,% ,95.50%
Rudin345Park\\BCX9th\\PrimaryFanS_7.1,CoolingValve,BCX9th,PrimaryFanS_7.1,S19-CoolingValve,S19,,Chilled Water Valve Command,% ,39.50%
Rudin345Park\\BCX9th\\PrimaryFanS_8.1,CoolingValve,BCX9th,PrimaryFanS_8.1,S2-CoolingValve,S2,,Chilled Water Valve Command,% ,75.30%
Rudin345Park\\BCXCellar\\InteriorFanS_13,CoolingValve,BCXCellar,InteriorFanS_13,S20-CoolingValve,S20,,Chilled Water Valve Command,% ,71.50%
Rudin345Park\\BCXCellar\\InteriorFanS_14,CoolingValve,BCXCellar,InteriorFanS_14,S21-CoolingValve,S21,,Chilled Water Valve Command,% ,65.50%
Rudin345Park\\BCXCellar\\InteriorFanS_15,CoolingValve,BCXCellar,InteriorFanS_15,S22-CoolingValve,S22,,Chilled Water Valve Command,% ,82.30%
Rudin345Park\\BCXCellar\\InteriorFanS_16,CoolingValve,BCXCellar,InteriorFanS_16,S3-CoolingValve,S3,,Chilled Water Valve Command,% ,65.60%
Rudin345Park\\BCXCellar\\InteriorFanS_17,CoolingValve,BCXCellar,InteriorFanS_17,S4-CoolingValve,S4,,Chilled Water Valve Command,% ,62.70%
Rudin345Park\\BCXCellar\\InteriorFanS_18,CoolingValve,BCXCellar,InteriorFanS_18,S5-CoolingValve,S5,,Chilled Water Valve Command,% ,92.10%
Rudin345Park\\BCXCellar\\InteriorFanS_19,CoolingValve,BCXCellar,InteriorFanS_19,S6-CoolingValve,S6,,Chilled Water Valve Command,% ,84.80%
Rudin345Park\\BCXCellar\\InteriorFanS_20,CoolingValve,BCXCellar,InteriorFanS_20,S7-CoolingValve,S7,,Chilled Water Valve Command,% ,49.70%
Rudin345Park\\BCXCellar\\InteriorFanS_21,CoolingValve,BCXCellar,InteriorFanS_21,S8-CoolingValve,S8,,Chilled Water Valve Command,% ,36.90%
Rudin345Park\\BCXCellar\\InteriorFanS_22,CoolingValve,BCXCellar,InteriorFanS_22,S9-CoolingValve,S9,,Chilled Water Valve Command,% ,51.20%
Rudin345Park\\BCX34th\\NWSecWater,PumpSpeed.P10,BCX34th,NWSecWater,P10-PumpSpeed,Misc,,Pump Speed Command,%,0.00%
Rudin345Park\\BCX34th\\NWSecWater,PumpSpeed.P11,BCX34th,NWSecWater,P11-PumpSpeed,34NW2WS,,Pump Speed Command,%,58.70%
Rudin345Park\\BCX9th\\SESecWater9th,PumpSpeed.P16,BCX9th,SESecWater9th,P16-PumpSpeed,9SE2WS,,Pump Speed Command,%,63.80%
Rudin345Park\\BCX9th\\SESecWater9th,PumpSpeed.P17,BCX9th,SESecWater9th,P17-PumpSpeed,Misc,,Pump Speed Command,%,0.00%
Rudin345Park\\BCX9th\\NWSecWater9th,PumpSpeed.P18,BCX9th,NWSecWater9th,P18-PumpSpeed,9NW2WS,,Pump Speed Command,%,62.70%
Rudin345Park\\BCX34th\\TenantCT1,PumpSpeed.P33,BCX34th,TenantCT1,P33-PumpSpeed,TCT1,,Pump Speed Command,%,0.00%
Rudin345Park\\BCX34th\\TenantCT1,PumpSpeed.P34,BCX34th,TenantCT1,P34-PumpSpeed,TCT1,,Pump Speed Command,%,87.60%
Rudin345Park\\BCX34th\\TenantCT1,PumpSpeed.P35,BCX34th,TenantCT1,P35-PumpSpeed,TCT1,,Pump Speed Command,%,87.60%
Rudin345Park\\BCX34th\\TenantCT1,PumpSpeed.P36,BCX34th,TenantCT1,P36-PumpSpeed,TCT1,,Pump Speed Command,%,87.60%
Rudin345Park\\BCX34th\\TenantCT1,PumpSpeed.P37,BCX34th,TenantCT1,P37-PumpSpeed,TCT1,,Pump Speed Command,%,0.00%
Rudin345Park\\BCX34th\\TenantCT2,PumpSpeed.P38,BCX34th,TenantCT2,P38-PumpSpeed,TCT2,,Pump Speed Command,%,100.00%
Rudin345Park\\BCX34th\\TenantCT2,PumpSpeed.P39,BCX34th,TenantCT2,P39-PumpSpeed,TCT2,,Pump Speed Command,%,0.00%
Rudin345Park\\BCX34th\\TenantCT2,PumpSpeed.P40,BCX34th,TenantCT2,P40-PumpSpeed,TCT2,,Pump Speed Command,%,100.00%
Rudin345Park\\BCX34th\\MainChilledWater,PumpSpeed.P5,BCX34th,MainChilledWater,P5-PumpSpeed,MCW,Main Chilled Water,Pump Speed Command,%,20.00%
Rudin345Park\\BCX34th\\MainChilledWater,PumpSpeed.P6,BCX34th,MainChilledWater,P6-PumpSpeed,MCW,Main Chilled Water,Pump Speed Command,%,20.00%
Rudin345Park\\BCX34th\\SESecondaryWater,PumpSpeed.P9,BCX34th,SESecondaryWater,P9-PumpSpeed,MCW,Main Chilled Water,Pump Speed Command,%,56.70%
Rudin345Park\\BCX34th\\InteriorFanS_4.1,ReturnSpeed.F1,BCX34th,InteriorFanS_4.1,F1-ReturnSpeed,S4,,Return Fan Speed Command,%,100.00%
Rudin345Park\\BCX9th\\InteriorFanS_9,ReturnSpeed.F10,BCX9th,InteriorFanS_9,F10-ReturnSpeed,S9,,Return Fan Speed Command,%,100.00%
Rudin345Park\\BCX9th\\InteriorFanS_12,ReturnSpeed.F11,BCX9th,InteriorFanS_12,F11-ReturnSpeed,S7,,Return Fan Speed Command,%,90.00%
Rudin345Park\\BCX9th\\InteriorFanS_11,ReturnSpeed.F12,BCX9th,InteriorFanS_11,F12-ReturnSpeed,S8,,Return Fan Speed Command,%,90.00%
Rudin345Park\\BCXCellar\\InteriorFanS_13,ReturnSpeed.F17,BCXCellar,InteriorFanS_13,F17-ReturnSpeed,S13,,Return Fan Speed Command,%,100.00%
Rudin345Park\\BCXCellar\\InteriorFanS_14,ReturnSpeed.F18,BCXCellar,InteriorFanS_14,F18-ReturnSpeed,S14,,Return Fan Speed Command,%,100.00%
Rudin345Park\\BCXCellar\\InteriorFanS_15,ReturnSpeed.F19,BCXCellar,InteriorFanS_15,F19-ReturnSpeed,S15,,Return Fan Speed Command,%,100.00%
Rudin345Park\\BCX34th\\InteriorFanS_3,ReturnSpeed.F2,BCX34th,InteriorFanS_3,F2-ReturnSpeed,S1,,Return Fan Speed Command,%,100.00%
Rudin345Park\\BCXCellar\\InteriorFanS_16,ReturnSpeed.F20,BCXCellar,InteriorFanS_16,F20-ReturnSpeed,S16,,Return Fan Speed Command,%,100.00%
Rudin345Park\\BCXCellar\\InteriorFanS_17,ReturnSpeed.F21,BCXCellar,InteriorFanS_17,F21-ReturnSpeed,S17,,Return Fan Speed Command,%,100.00%
Rudin345Park\\BCXCellar\\InteriorFanS_18,ReturnSpeed.F22,BCXCellar,InteriorFanS_18,F22-ReturnSpeed,S18,,Return Fan Speed Command,%,100.00%
Rudin345Park\\BCXCellar\\InteriorFanS_19,ReturnSpeed.F23,BCXCellar,InteriorFanS_19,F23-ReturnSpeed,S19,,Return Fan Speed Command,%,100.00%
Rudin345Park\\BCXCellar\\InteriorFanS_20,ReturnSpeed.F24,BCXCellar,InteriorFanS_20,F24-ReturnSpeed,S20,,Return Fan Speed Command,%,100.00%
Rudin345Park\\BCXCellar\\InteriorFanS_22,ReturnSpeed.F26,BCXCellar,InteriorFanS_22,F26-ReturnSpeed,S22,,Return Fan Speed Command,%,100.00%
Rudin345Park\\BCX34th\\InteriorFanS_5,ReturnSpeed.F3,BCX34th,InteriorFanS_5,F3-ReturnSpeed,S2,,Return Fan Speed Command,%,100.00%
Rudin345Park\\BCX34th\\InteriorFanS_6.1,ReturnSpeed.F4,BCX34th,InteriorFanS_6.1,F4-ReturnSpeed,S6,,Return Fan Speed Command,%,100.00%
Rudin345Park\\BCX9th\\InteriorFanS_10,ReturnSpeed.F9,BCX9th,InteriorFanS_10,F9-ReturnSpeed,S10,,Return Fan Speed Command,%,100.00%
Rudin345Park\\BCX34th\\MainCoolingTower,Speed.CT1,BCX34th,MainCoolingTower,CT1-Speed,MCW,Main Chilled Water,Cooling Tower Speed Command,%,100.00%
Rudin345Park\\BCX34th\\TenantCT1,Speed.CT1.1,BCX34th,TenantCT1,CT1.1-Speed,TCT1,,Cooling Tower Speed Command,%,54.40%
Rudin345Park\\BCX34th\\TenantCT1,Speed.CT1.2,BCX34th,TenantCT1,CT1.2-Speed,TCT1,,Cooling Tower Speed Command,%,54.40%
Rudin345Park\\BCX34th\\MainCoolingTower,Speed.CT2,BCX34th,MainCoolingTower,CT2-Speed,MCW,Main Chilled Water,Cooling Tower Speed Command,%,100.00%
Rudin345Park\\BCX34th\\TenantCT2,Speed.CT2.1,BCX34th,TenantCT2,CT2.1-Speed,TCT2,,Cooling Tower Speed Command,%,28.20%
Rudin345Park\\BCX34th\\TenantCT2,Speed.CT2.2,BCX34th,TenantCT2,CT2.2-Speed,TCT2,,Cooling Tower Speed Command,%,28.20%
Rudin345Park\\BCX34th\\MainCoolingTower,Speed.CT3,BCX34th,MainCoolingTower,CT3-Speed,MCW,Main Chilled Water,Cooling Tower Speed Command,%,100.00%
Rudin345Park\\BCX34th\\MainCoolingTower,Speed.CT4,BCX34th,MainCoolingTower,CT4-Speed,MCW,Main Chilled Water,Cooling Tower Speed Command,%,100.00%
Rudin345Park\\BCXCellar\\SteamStation,SteamShutoff,BCXCellar,SteamStation,Steam-Shutoff,Steam,,Emergency Steam Shutoff Valve,None,Off
Rudin345Park\\BCX34th\\PrimaryFanS_1.1,SupplySpeed.S1,BCX34th,PrimaryFanS_1.1,S1-SupplySpeed,S1,,Supply Fan Speed Command,%,77.00%
Rudin345Park\\BCX9th\\InteriorFanS_10,SupplySpeed.S10,BCX9th,InteriorFanS_10,S10-SupplySpeed,S10,,Supply Fan Speed Command,%,100.00%
Rudin345Park\\BCX9th\\InteriorFanS_11,SupplySpeed.S11,BCX9th,InteriorFanS_11,S11-SupplySpeed,S11,,Supply Fan Speed Command,%,100.00%
Rudin345Park\\BCX9th\\InteriorFanS_12,SupplySpeed.S12,BCX9th,InteriorFanS_12,S12-SupplySpeed,S12,,Supply Fan Speed Command,%,100.00%
Rudin345Park\\BCXCellar\\InteriorFanS_13,SupplySpeed.S13,BCXCellar,InteriorFanS_13,S13-SupplySpeed,S13,,Supply Fan Speed Command,%,100.00%
Rudin345Park\\BCXCellar\\InteriorFanS_14,SupplySpeed.S14,BCXCellar,InteriorFanS_14,S14-SupplySpeed,S14,,Supply Fan Speed Command,%,100.00%
Rudin345Park\\BCXCellar\\InteriorFanS_15,SupplySpeed.S15,BCXCellar,InteriorFanS_15,S15-SupplySpeed,S15,,Supply Fan Speed Command,%,100.00%
Rudin345Park\\BCXCellar\\InteriorFanS_16,SupplySpeed.S16,BCXCellar,InteriorFanS_16,S16-SupplySpeed,S16,,Supply Fan Speed Command,%,100.00%
Rudin345Park\\BCXCellar\\InteriorFanS_17,SupplySpeed.S17,BCXCellar,InteriorFanS_17,S17-SupplySpeed,S17,,Supply Fan Speed Command,%,100.00%
Rudin345Park\\BCXCellar\\InteriorFanS_18,SupplySpeed.S18,BCXCellar,InteriorFanS_18,S18-SupplySpeed,S18,,Supply Fan Speed Command,%,100.00%
Rudin345Park\\BCXCellar\\InteriorFanS_19,SupplySpeed.S19,BCXCellar,InteriorFanS_19,S19-SupplySpeed,S19,,Supply Fan Speed Command,%,100.00%
Rudin345Park\\BCX34th\\PrimaryFanS_2.1,SupplySpeed.S2,BCX34th,PrimaryFanS_2.1,S2-SupplySpeed,S2,,Supply Fan Speed Command,%,100.00%
Rudin345Park\\BCXCellar\\InteriorFanS_20,SupplySpeed.S20,BCXCellar,InteriorFanS_20,S20-SupplySpeed,S20,,Supply Fan Speed Command,%,100.00%
