,start,end,busday
2011-12-20,6.133333333333334,6.166666666666667,True
2011-12-21,5.983333333333333,6.5,True
2011-12-22,6.05,6.216666666666667,True
2011-12-23,6.133333333333334,6.283333333333333,True
2011-12-24,8.016666666666667,8.116666666666667,False
2011-12-26,5.916666666666667,6.3,True
2011-12-27,5.583333333333333,5.816666666666666,True
2011-12-28,5.85,5.983333333333333,True
2011-12-29,5.95,6.15,True
2011-12-30,5.983333333333333,6.2,True
2011-12-31,8.0,8.083333333333334,False
2012-01-01,10.016666666666667,13.783333333333333,False
2012-01-02,6.916666666666667,6.933333333333334,True
2012-01-03,5.25,5.816666666666666,True
2012-01-04,5.0,5.233333333333333,True
2012-01-05,5.65,6.283333333333333,True
2012-01-06,5.433333333333334,5.983333333333333,True
2012-01-07,7.883333333333333,8.0,False
2012-01-08,10.95,10.966666666666667,False
2012-01-09,4.6,4.916666666666667,True
2012-01-10,5.716666666666667,5.833333333333333,True
2012-01-11,5.583333333333333,6.1,True
2012-01-12,5.733333333333333,5.966666666666667,True
2012-01-13,5.766666666666667,5.966666666666667,True
2012-01-14,8.166666666666666,8.266666666666667,False
2012-01-15,11.0,11.15,False
2012-01-16,4.816666666666666,5.216666666666667,True
2012-01-17,5.7,5.85,True
2012-01-18,5.65,6.4,True
2012-01-19,5.716666666666667,5.833333333333333,True
2012-01-20,5.883333333333333,6.066666666666666,True
2012-01-21,7.966666666666667,8.816666666666666,False
2012-01-22,8.933333333333334,13.933333333333334,False
2012-01-23,5.333333333333333,5.766666666666667,True
2012-01-24,5.733333333333333,5.916666666666667,True
2012-01-25,5.9,6.4,True
2012-01-26,5.866666666666667,6.083333333333333,True
2012-01-27,6.116666666666666,6.216666666666667,True
2012-01-28,8.066666666666666,8.166666666666666,False
2012-01-29,8.016666666666667,8.033333333333333,False
2012-01-30,5.7,5.75,True
2012-01-31,5.733333333333333,5.766666666666667,True
2012-02-01,6.016666666666667,6.433333333333334,True
2012-02-02,5.65,5.8,True
2012-02-03,6.066666666666666,6.25,True
2012-02-04,8.116666666666667,15.416666666666666,False
2012-02-05,8.966666666666667,13.466666666666667,False
2012-02-06,5.716666666666667,6.1,True
2012-02-07,6.583333333333333,6.916666666666667,True
2012-02-08,5.016666666666667,6.85,True
2012-02-09,6.416666666666667,6.983333333333333,True
2012-02-10,6.55,6.8,True
2012-02-11,7.883333333333333,14.066666666666666,False
2012-02-12,6.516666666666667,6.633333333333333,False
2012-02-13,5.45,5.966666666666667,True
2012-02-14,6.55,6.733333333333333,True
2012-02-15,6.233333333333333,6.833333333333333,True
2012-02-16,6.633333333333333,6.8,True
2012-02-17,6.816666666666666,6.966666666666667,True
2012-02-18,8.066666666666666,10.366666666666667,False
2012-02-19,7.25,7.25,False
2012-02-20,6.583333333333333,6.983333333333333,True
2012-02-21,6.383333333333334,6.716666666666667,True
2012-02-22,6.45,6.8,True
2012-02-23,6.6,6.883333333333333,True
2012-02-24,6.566666666666666,6.733333333333333,True
2012-02-25,8.0,8.066666666666666,False
2012-02-26,19.25,19.25,False
2012-02-27,5.983333333333333,6.2,True
2012-02-28,6.433333333333334,6.766666666666667,True
2012-02-29,6.383333333333334,6.766666666666667,True
2012-03-01,6.45,6.8,True
2012-03-02,6.6,6.766666666666667,True
2012-03-03,8.0,11.483333333333333,False
2012-03-05,5.966666666666667,6.333333333333333,True
2012-03-06,6.1,6.366666666666666,True
2012-03-07,6.466666666666667,6.733333333333333,True
2012-03-08,6.516666666666667,6.95,True
2012-03-09,6.566666666666666,6.7,True
2012-03-10,0.7,20.316666666666666,False
2012-03-11,7.65,19.983333333333334,False
2012-03-12,4.483333333333333,6.616666666666667,True
2012-03-13,6.533333333333333,6.8,True
2012-03-14,6.683333333333334,6.95,True
2012-03-15,6.616666666666667,6.8,True
2012-03-16,6.65,6.816666666666666,True
2012-03-17,7.9,18.133333333333333,False
2012-03-18,8.95,9.0,False
2012-03-19,6.7,6.9,True
2012-03-20,6.35,6.6,True
2012-03-21,6.566666666666666,6.8,True
2012-03-22,6.666666666666667,6.916666666666667,True
2012-03-23,6.55,6.716666666666667,True
2012-03-24,2.7666666666666666,11.866666666666667,False
2012-03-25,8.933333333333334,9.066666666666666,False
2012-03-26,6.6,6.85,True
2012-03-27,6.433333333333334,6.566666666666666,True
2012-03-28,6.183333333333334,6.833333333333333,True
2012-03-29,6.633333333333333,6.816666666666666,True
2012-03-30,6.366666666666666,6.766666666666667,True
2012-03-31,7.983333333333333,13.016666666666667,False
2012-04-03,6.266666666666667,6.766666666666667,True
2012-04-04,6.4,6.75,True
2012-04-05,6.4,6.716666666666667,True
2012-04-06,6.3,6.716666666666667,True
2012-04-07,8.05,8.316666666666666,False
2012-04-09,6.5,6.816666666666666,True
2012-04-10,6.4,6.7,True
2012-04-11,6.416666666666667,6.766666666666667,True
2012-04-12,6.4,6.766666666666667,True
2012-04-13,6.516666666666667,6.933333333333334,True
2012-04-14,8.1,8.166666666666666,False
2012-04-16,6.733333333333333,6.9,True
2012-04-17,6.3,6.833333333333333,True
2012-04-18,6.2,6.833333333333333,True
2012-04-19,6.333333333333333,6.783333333333333,True
2012-04-20,6.316666666666666,6.766666666666667,True
2012-04-21,6.95,8.016666666666667,False
2012-04-23,6.45,6.85,True
2012-04-24,6.666666666666667,6.866666666666667,True
2012-04-25,6.533333333333333,6.866666666666667,True
2012-04-26,6.433333333333334,6.783333333333333,True
2012-04-27,6.466666666666667,6.983333333333333,True
2012-04-28,5.65,8.1,False
2012-04-30,6.3,6.766666666666667,True
