,nightTemp2,mornTemp2,peak,superPeak,superIdx,preheatPeak,totalUsage,nightUsage,pumpTime,conEdPeak,conEdIdx,valid_days,winter_season
4/14/13,51.18333333,50.5,2.2,2.2,9.25,2,47,1.93,0.25,2.1,9.25,FALSE,
4/15/13,48.81666667,45.725,21,21,6.5,2.2,154.2,1.96,6.25,20.9,6.5,TRUE,
4/16/13,48.48333333,50.5,21,21,6.5,2.2,155.5,2.15,6.25,16.3,7.75,TRUE,
4/17/13,61.04615385,56.2,44.4,41.6,9,2.2,399.95,1.97,6.5,40.9,9.25,TRUE,
4/18/13,58.66666667,52.525,44,29,6.5,2,236.55,1.53,6.25,19.7,6.75,TRUE,
4/19/13,54.58,59.3875,42.4,39.8,7.75,1.8,406.4,1.76,6.5,39.5,7.75,TRUE,
4/20/13,59.31111111,50.825,40.4,7.8,9.25,1.6,153.65,1.67,2,7.5,9.5,FALSE,
4/21/13,47.64166667,37.95,5.2,5.2,7.5,2.2,42.95,1.68,5.5,3.8,7.75,FALSE,
4/22/13,45.68333333,43.8,29.8,29.8,6.25,2,182.5,1.81,6,24.4,6.5,TRUE,
4/23/13,45.30666667,41.18333333,31.8,31.8,6.5,2.2,245.1,2.15,6.25,23.7,7.5,TRUE,
4/24/13,48.16153846,46.275,32.6,24,6.5,2.4,240.45,2.14,6.25,17.6,7.5,TRUE,
4/25/13,55.51666667,47.45,31.8,24,6.5,2,194.85,1.79,6.25,16.9,7.75,TRUE,
4/26/13,55.59166667,51.825,21,21,9.25,2,128.05,1.71,6.25,16.7,9.25,TRUE,
4/27/13,55.49166667,50.5,18.4,18.4,8.5,2,77.45,1.8,1,16.5,8.75,FALSE,
4/28/13,56.98333333,54.5,2.8,1.8,6.5,1.6,39.85,1.62,2.25,1.8,6.75,FALSE,
4/29/13,56.35833333,53.55,17.8,17.8,7,1.8,134.25,1.62,6.5,17,7.25,TRUE,
4/30/13,54.04285714,53.025,30,14,7.75,2,183.75,1.89,6.5,13.4,8,TRUE,
5/1/13,54.45,51.475,30.4,19.6,6.75,2,229.35,1.86,6.5,14.9,7,TRUE,
5/2/13,53.88333333,53.725,32.2,28.8,10.5,2,309.15,1.85,6.5,28.4,10.75,TRUE,
5/3/13,57.90833333,52.5,31.6,19.2,7,2,193.55,1.83,6.5,14.7,8.25,TRUE,
5/4/13,50.56666667,52.475,12.2,12.2,8.25,2,86.9,1.82,0,10.1,8.25,FALSE,
5/5/13,49.56923077,48.7,2.4,2.4,6.25,2,46.45,1.89,6,2.3,6.25,FALSE,
5/6/13,49.77142857,49.96,33.6,19,6.75,2,198.1,1.89,6.5,16.6,6.75,TRUE,
5/7/13,56.63076923,54.9,36,19.2,6.75,2,320.45,1.91,6.5,15.9,7,TRUE,
5/9/13,56.9625,56.05714286,41.8,39,7.5,1.6,470.7,1.57,6.5,38.7,7.75,TRUE,
5/10/13,62.775,61.3,40,39.2,8,1.6,464.8,1.62,6.5,39.2,8.25,TRUE,
5/11/13,64.62631579,62.775,31.8,28.4,8.5,1.8,298.1,1.54,0,28.1,8.75,FALSE,
5/12/13,62.6,58.5,27,2,7.5,1.8,139.95,1.6,0.5,2,8.25,FALSE,
5/13/13,53.50833333,47.675,22.6,22.6,7.5,1.8,144.15,1.68,6.25,19.2,7.75,TRUE,
5/14/13,47.58333333,44.75,19.6,19.6,6.5,2,174.4,1.81,6.25,17.6,7.75,TRUE,
5/15/13,55.18333333,55.225,38.6,33.8,10.75,2,282.6,1.73,6.5,31.9,10.75,TRUE,
5/16/13,66.125,64.475,41.4,40.6,9,1.8,505.25,1.54,6.5,40.6,9.25,TRUE,
5/17/13,69.01666667,60.05,38.6,38.6,10,1.6,468.65,1.59,6.5,38.4,10.25,TRUE,
5/18/13,64.025,58.225,34.6,25.8,10,1.6,264.8,1.6,23.75,25.7,10,FALSE,
5/19/13,58.06875,55.81818182,2.2,2.2,6,2,40.15,1.57,5.75,2.2,6.25,FALSE,
5/20/13,57.85185185,60.04,58.8,43.6,10.25,2,466.3,1.66,6.5,43.3,10.25,TRUE,
5/21/13,72.35833333,69.6,61.8,60.6,9,2.4,743.55,1.55,6.5,60.6,9.25,TRUE,
5/22/13,75.43846154,61.025,54.8,45.6,10.5,26.6,815.6,24.99,2,45.1,10.5,TRUE,
5/23/13,72.26666667,71.34,63.2,63.2,10,1.8,701.6,1.62,6.5,62.9,10,TRUE,
5/24/13,65.47241379,63.46153846,56.4,42.2,8.5,1.8,583.15,1.74,6.5,42.2,8.75,TRUE,
5/25/13,46.75789474,45.31666667,36.6,11.4,8.5,2,174.5,1.83,23.75,9.3,8.5,FALSE,
5/26/13,49.63571429,50.225,3.2,3.2,8.5,1.8,51,1.74,0,2.9,9.75,FALSE,
5/27/13,57.33333333,54.05,3.8,3.8,8.75,1.8,46.4,1.62,23.75,3.3,9,TRUE,
5/28/13,65.1,61.25,38,37.8,10.75,1.8,326.1,1.71,6.5,37.6,10.75,TRUE,
5/29/13,58.50740741,60.53333333,56,41.4,8,1.8,513.6,1.66,6.5,41.4,8.25,TRUE,
5/30/13,77.25833333,74.225,56.4,56.4,6.25,3.6,714.95,1.56,6,56.1,6.5,TRUE,
5/31/13,81.93333333,77.275,64.2,64.2,10.25,1.8,779.95,1.54,6.25,63.1,10.5,TRUE,
6/1/13,80.73333333,74.675,57.8,35.6,10.25,1.8,513.05,1.67,5.75,35.5,10.75,FALSE,
6/2/13,79.25833333,75.175,33.2,2.2,10,2,120.95,1.72,5,2.1,10,FALSE,
6/3/13,74.13529412,69.2,61.2,61.2,6,56,658.15,1.57,5.75,61,6.25,TRUE,
6/4/13,67.69444444,57.95,54.2,29,10.75,1.8,419.95,1.81,6.5,28.7,10.75,TRUE,
6/5/13,66.6,60.775,40.2,34,10.75,1.6,388.75,1.5,0.25,33.9,10.75,TRUE,
6/6/13,62.09166667,61.25555556,40.8,40.8,9.25,1.6,468.7,1.46,6.5,40.6,10.25,TRUE,
6/7/13,62.23333333,61.09166667,42,39.2,10.75,1.6,469.55,1.33,6.5,38.8,10.75,TRUE,
6/8/13,59.35675676,58.3625,39.2,1.8,9.75,1.6,139.45,1.47,3.5,1.8,10,FALSE,
6/9/13,69.64166667,65.75,1.8,1.6,6,1.6,36.6,1.48,0.75,1.6,6.5,FALSE,
6/10/13,71.51666667,67.725,59.6,59.6,6.25,16.8,512.2925,1.49,6,57.7,7,TRUE,
6/11/13,64.34358974,68.75714286,61.6,61.6,8,1.8,704.65,1.49,6.5,61,8.25,TRUE,
6/12/13,71.91666667,65.45,57.4,36.6,9.5,1.6,502.7,1.54,6.5,35.5,9.5,TRUE,
6/13/13,69.89166667,66,39.2,39.2,10.25,1.6,483.35,1.6,6.5,38.4,10.25,TRUE,
6/14/13,58.01724138,54.7,36,11,7.75,1.4,231.85,1.32,0.25,10.7,8,TRUE,
6/15/13,63.70714286,64.225,35.8,34.6,10.75,1.4,209.7,1.48,0,27.2,10.75,FALSE,
6/16/13,71.66666667,66.95,1.8,1.6,6.25,1.6,35.35,1.47,23.75,1.6,8,FALSE,
6/17/13,73.93333333,71.525,63.8,60,6,63.8,576.1,1.35,5.5,59.1,10.25,TRUE,
6/18/13,74.425,69,56.4,56.4,8,2.2,729.9,1.57,6.25,55.3,8.25,TRUE,
6/19/13,65.21875,61.3,51.6,40,9.25,1.6,544,1.55,6.5,40,9.5,TRUE,
6/20/13,67.06666667,64.975,40.2,38.4,9.25,1.8,499.65,1.34,6.5,38.2,9.25,TRUE,
6/21/13,68.90833333,65.775,34.8,32.2,10.5,1.6,445.5,1.41,6.5,32.2,10.75,TRUE,
6/22/13,70.25,67.725,34.2,33.8,10.75,1.6,303.1,1.51,0,33.5,10.75,FALSE,
6/23/13,71.61666667,71.525,1.8,1.6,6.5,1.6,33.35,1.53,0.25,1.5,6.5,FALSE,
6/24/13,76.05,76.5,64.8,62.6,6,64.8,718.85,1.26,5.5,60.8,6.25,TRUE,
6/25/13,78.98333333,75,59.8,59.8,6.5,1.8,769.5,1.53,6.25,59.7,6.75,TRUE,
6/26/13,79.81666667,75.725,58.8,53,7.5,1.8,757,1.37,6.5,52.8,7.5,TRUE,
6/27/13,76.63846154,76,57.2,57.2,7.5,1.8,768.6,1.38,6.5,57.1,7.75,TRUE,
6/28/13,74.17391304,73.8125,55.8,55.4,7,1.8,728.75,1.58,6.5,55.3,7.25,TRUE,
6/29/13,76.24166667,72.0875,64.6,64.6,9.25,1.6,536.05,1.59,2.5,60.6,9.5,FALSE,
6/30/13,76.83333333,76.65714286,31.6,3,10.75,1.6,242.9,1.51,23.75,2.3,10.75,FALSE,
7/1/13,74.66,74.95,62,61.2,6.25,45,665.1,1.53,6,60.7,6.25,TRUE,
7/2/13,72.92272727,73.76,61.8,60,10.75,3.8,858.8,1.54,6.25,59.6,10.75,TRUE,
7/3/13,75.38333333,74.675,60.6,57.4,7.75,1.8,765.55,1.41,6.5,57.1,7.75,TRUE,
7/4/13,76.80869565,75.8375,55.6,1.6,6,1.6,256.5,1.48,23.75,1.6,6.25,TRUE,
7/5/13,80.65833333,77.44285714,63.6,63.6,6.75,3.6,618.85,1.51,6.5,62.5,7.75,TRUE,
7/6/13,83.1,79.05,63.4,63.4,9.75,1.8,558.75,1.52,5,63.3,9.75,FALSE,
7/7/13,85.25833333,80.575,29.4,1.6,6,1.6,172.5,1.37,4.25,1.6,8,FALSE,
7/8/13,81.59166667,74.95,59.8,57.8,6,59.8,859.9,30.55,4.5,57.7,6.25,TRUE,
7/9/13,77.53125,75.775,60.8,56.6,6.25,35,803.1,1.55,6,56.5,6.25,TRUE,
7/10/13,77.70714286,77.15714286,58.8,58,6.5,1.8,850.15,1.47,6.25,57.6,6.75,TRUE,
7/11/13,82.33333333,78.06666667,63.8,63.8,6.25,3,777,1.5,6,61.6,6.5,TRUE,
7/12/13,78.30833333,73.225,53.2,53.2,7,1.6,666.05,1.55,6.5,52.3,7.25,TRUE,
7/13/13,69.57407407,69.7,52,35.6,9,1.6,454.7,1.45,0,35.5,9.25,FALSE,
7/14/13,75.47,76.38,31.6,1.8,6,1.8,276.15,1.5,4.25,1.7,6.25,FALSE,
7/15/13,83.425,79.575,64.4,59,10.75,58.6,852.15,22.08,3.25,58.6,10.75,TRUE,
7/16/13,85.14166667,79.575,60,55.4,6.25,56.4,940.05,2.14,4.75,55.4,6.5,TRUE,
7/17/13,85.6,81.275,59.2,59.2,10,57.2,868.65,1.5,5.5,59.1,10.25,TRUE,
7/18/13,84.15,83.45,64.8,61.8,6.25,52.4,899.55,1.42,6,61.6,6.25,TRUE,
7/19/13,88.48333333,84.225,67,67,10.75,25.2,911.7,1.43,6.5,66.7,10.75,TRUE,
7/20/13,87.925,81.5,77.2,77.2,9,1.6,642.1,1.49,5.75,74.9,9,FALSE,
7/21/13,82.84166667,79.15714286,34.2,30.8,10.75,1.6,274.5,1.47,23.75,17,10.75,FALSE,
7/22/13,78.20833333,76.24285714,64.6,58.8,10.25,64.6,790.35,16.69,3.75,58.7,10.5,TRUE,
7/23/13,76.628125,74.275,62.2,62.2,6,61.8,819.4,1.55,5.75,61.2,6.25,TRUE,
7/24/13,79.49166667,75.725,60.6,60.6,6.5,3.2,761.4,1.58,6.25,60.5,6.5,TRUE,
7/25/13,71.80833333,65.45,49.6,37.6,10.75,1.8,512.6,1.57,6.5,35,10.75,TRUE,
7/26/13,66.4375,68.22,38.8,35,7.5,1.8,494.05,1.57,6.5,34.8,7.5,TRUE,
7/27/13,74.775,71.475,39.4,34.6,10.75,1.6,417.1,1.38,3.75,33.9,10.75,FALSE,
7/28/13,72.44166667,72.5,23.6,1.8,7.5,1.4,98.05,1.34,1.5,1.6,7.75,FALSE,
7/29/13,71.59130435,70.92857143,65.6,61.2,6,65.6,582.6,1.3,5.5,58.9,6.25,TRUE,
7/30/13,73.81666667,68.5,54.2,34.8,6.25,1.8,552.3,1.58,6,34.3,7.25,TRUE,
7/31/13,73.09166667,69.5,35.4,35,9.5,1.8,478.5,1.44,6.5,35,9.75,TRUE,
8/1/13,74.31666667,73.725,37.6,37.6,6.75,1.8,477.45,1.48,6.5,37.1,7,TRUE,
8/2/13,69.31818182,68.62,49.8,49.8,9.25,1.8,468.8,1.47,6.5,45.8,9.5,TRUE,
8/3/13,76.50833333,70.8,34,33.6,10,1.4,382.4,1.44,23.75,33.5,10.25,FALSE,
8/4/13,72,68.225,21.6,1.8,10.5,1.4,92.85,1.34,1,1.7,10.5,FALSE,
8/5/13,70.40833333,63.55,38.2,38.2,6.5,1.6,337.2,1.21,6.25,37.1,6.75,TRUE,
8/6/13,70.73333333,67.225,40.8,37.4,7,1.8,490.7,1.45,6.5,36.5,7.25,TRUE,
8/7/13,72.1,71.55,37.2,37.2,6.75,1.6,492.85,1.4,6.5,37.2,7,TRUE,
8/8/13,72.25217391,71.87142857,43,42,8.75,1.6,544.65,1.42,6.5,42,9,TRUE,
8/9/13,73.45,74.45,42.4,42.4,7.25,1.6,574.375,1.44,6.5,42.4,7.5,TRUE,
8/10/13,77.33333333,71.75,40.6,36.8,9,1.8,420.95,1.64,23.75,36.8,9.25,FALSE,
8/11/13,74.675,67,28.4,28.4,10,1.6,272.25,1.58,0.5,27.6,10.25,FALSE,
8/12/13,73.81666667,71.18333333,41.2,41.2,7,1.8,493.4,1.41,6.25,41.1,7,TRUE,
8/13/13,74.61666667,73.15,41.4,41.4,6.75,1.8,546.2,1.56,6.5,40.2,7.5,TRUE,
8/14/13,70.03571429,61.775,43.4,43.4,10.25,1.8,536.35,1.48,6.5,42.3,10.25,TRUE,
8/15/13,66.58333333,61.3,41.4,34.6,9.75,1.6,530.55,1.49,6.5,34.6,10,TRUE,
8/16/13,68.98,65.5,36.4,31.4,7.75,1.6,462.6,1.46,6.5,31.4,8,TRUE,
8/17/13,69.98333333,66.95,33.6,33.6,9.5,1.6,329.5,1.44,0,33,9.75,FALSE,
8/18/13,71.8,69.825,19,1.6,7.25,1.6,102.8,1.44,23.75,1.6,9.25,FALSE,
8/19/13,69.59166667,68.5,42,42,6.25,1.8,378.85,1.3,6,40.1,6.5,TRUE,
8/20/13,72.08333333,70.3,40.6,40.6,6.75,1.6,523.45,1.45,6.5,40.1,7,TRUE,
8/21/13,78.49166667,73.7,42.6,40.2,10.5,1.8,568.6,1.55,6,40.2,10.75,TRUE,
8/22/13,78.44166667,76.45,45.6,45.2,9.25,1.6,630.55,1.42,6.5,44.7,9.5,TRUE,
8/23/13,73.71666667,71.8,45.4,39.8,9.75,1.6,583.9,1.5,6.5,39.4,10,TRUE,
8/24/13,72.58333333,65.56666667,38,38,8.75,1.6,420,1.44,1,37.7,9,FALSE,
8/25/13,68.9,66.5,31.2,1.8,7.5,1.6,156.15,1.56,23.75,1.6,7.5,FALSE,
8/26/13,73.30909091,68.825,42.2,40,6.25,1.8,485.9,1.48,6,40,6.5,TRUE,
8/27/13,76.29090909,73,42.4,42,10.25,1.8,625.15,1.58,6.5,42,10.5,TRUE,
8/28/13,77.9,76,45.8,45.8,8.75,2,641.95,1.59,6.5,45.1,8.75,TRUE,
8/29/13,72.81666667,71.55,44,42.4,9.5,1.8,596.35,1.5,6.5,42.2,9.75,TRUE,
8/30/13,71.95,70.36,41.4,40.8,9.25,1.8,576,1.46,6.5,40.5,9.5,TRUE,
8/31/13,77.35714286,73.6,41.8,36.2,8.5,1.6,457.85,1.42,6.5,35.8,8.75,FALSE,
9/1/13,80.09166667,76.82,36.8,36.8,10.75,1.4,358.05,1.4,2.5,36.3,10.75,FALSE,
9/2/13,75.97777778,76.78,33.8,33.8,10.5,1.6,345.4,1.42,6.25,33.5,10.75,TRUE,
9/3/13,75.15,71.61428571,46.2,46.2,6.5,4,565.3,1.53,6.25,45.9,6.75,TRUE,
9/4/13,71.73636364,65.95,39.8,39.4,9.75,1.8,551.35,1.68,6.5,39.3,9.75,TRUE,
9/5/13,73.50833333,68.5,39.6,37.6,10.75,1.8,544.75,1.66,6.5,37.1,10.75,TRUE,
9/6/13,65.56666667,58.725,42.4,5.6,9.25,1.8,306.45,1.72,23.75,5.5,9.25,TRUE,
9/7/13,63.2,61.3,31.4,29,9.75,1.8,343.75,1.6,0.5,29,10,FALSE,
9/8/13,71.53333333,68.775,34.4,34.4,10.75,1.8,293.4,1.64,0,23.4,10.75,FALSE,
9/9/13,66.43333333,59.275,35,29.6,10.75,1.8,368.15,1.72,23.75,29.4,10.75,TRUE,
9/10/13,68.47142857,70.18333333,38,34.2,7.25,1.8,512.4,1.62,6.5,34.1,7.5,TRUE,
9/11/13,80.84166667,78.05,66.2,61.6,9.25,1.6,781.6,1.53,6.5,61.4,9.25,TRUE,
9/12/13,83.51666667,77.275,65.4,60.6,8.75,1.6,858.8,1.56,6.5,59.9,9,TRUE,
9/13/13,71.39375,67.175,63.4,43.2,8.75,1.8,643.8,1.62,6.5,41,9,TRUE,
9/14/13,61.89166667,54.975,34,2,9.75,1.6,251.35,1.59,23.75,2,10.5,FALSE,
9/15/13,56.90833333,52.525,24,1.6,6,1.6,123.95,1.56,3,1.6,6.25,FALSE,
9/16/13,64.83333333,62.275,36.8,36.8,6.75,1.8,326.25,1.63,6.5,35,7,TRUE,
9/17/13,60.23571429,50.5,36.4,26.2,6.5,1.8,237.25,1.7,6.25,18.2,6.75,TRUE,
9/18/13,56.65833333,53.3,28,15,6.75,2,130.05,1.76,6.5,11,6.75,TRUE,
9/19/13,60.31666667,57,38,37.2,10.75,1.8,416.35,1.75,6.5,37.1,10.75,TRUE,
9/20/13,64.41666667,62.3,38.8,33.4,10.75,1.8,483.25,1.64,6.5,33.1,7.25,TRUE,
9/21/13,65.23333333,63.96,38,30,9.5,1.8,357.3,1.54,3.75,29.6,9.75,FALSE,
9/22/13,67.53214286,61.55,25.4,25.4,7.25,1.6,246.3,1.51,0.75,24.1,7.5,FALSE,
9/23/13,56.59166667,51.825,21.4,20.2,6.75,1.6,117.05,1.58,6.5,15.1,6.75,TRUE,
9/24/13,55.6,48.45,29.4,15,6.5,1.8,160.45,1.67,6.25,12.3,8.5,TRUE,
9/25/13,62.60833333,54.275,34.6,7.2,8,1.8,289.55,1.63,1,6.1,8,TRUE,
9/26/13,62.41666667,59.62,34.6,33.2,10.5,1.6,451.55,1.49,6.5,33.1,10.75,TRUE,
9/27/13,60.36923077,58.56,35.4,33.8,10.5,1.6,449.45,1.5,6.5,33.8,10.75,TRUE,
9/28/13,61.775,57.95,34.8,33.8,9,1.6,401.75,1.55,2.25,33,9.25,FALSE,
9/29/13,63.09166667,58.96,29.6,2,10.75,1.4,194.8675,1.27,23.75,1.6,10.75,FALSE,
9/30/13,59.56666667,57.725,37.8,36.2,8.5,1.8,431.2,1.45,6.5,36.2,8.75,TRUE,
10/1/13,63.25833333,61.05,39,34.6,10.25,1.6,504.05,1.39,6.5,34.5,10.5,TRUE,
10/2/13,69.81666667,65.5,40,35.2,8,1.4,498,1.28,6.5,34.7,9.75,TRUE,
10/3/13,73.83333333,64.975,40.4,31.8,6.75,1.4,471.95,1.3,6.5,31.7,7,TRUE,
10/4/13,69.85,68,39.2,36.6,10.75,1.6,463.45,1.35,6.5,35.4,10.75,TRUE,
10/5/13,70.80833333,65.34,36.6,32.4,8.75,1.6,354.45,1.47,23.75,31.9,9,FALSE,
10/6/13,67.16666667,65.71428571,27.4,1.6,8.25,1.6,144.1,1.4,1,1.4,6.25,FALSE,
10/7/13,69.67142857,70.03333333,57.6,57.6,6.75,2,618.65,1.35,6.5,57.2,7,TRUE,
10/8/13,61.6,55.475,41.8,7.6,9,1.6,214.75,1.33,3.25,7.3,9.25,TRUE,
10/9/13,59.43333333,54.275,12.6,12.6,9.75,1.4,112,1.38,6.5,11.7,10,TRUE,
10/10/13,57.26666667,54,29.6,12.2,10.75,1.4,137.3775,1.45,6.5,11,10.75,TRUE,
10/11/13,61.78421053,61.775,35,35,7.75,1.6,309.45,1.46,6.5,33.3,8,TRUE,
10/12/13,65.5,60.825,31.6,5.8,9.5,1.6,177.95,1.37,4.5,5.8,9.75,FALSE,
10/13/13,62.05882353,56.45,2,2,10.75,1.4,32.75,1.35,0,1.7,10.75,FALSE,
10/14/13,56.75555556,53.62,16,16,7.75,1.6,110.9,1.29,6.5,15.1,8,TRUE,
10/15/13,56.3,55.725,34,5.8,7.5,1.6,184.4,1.39,1.25,4.8,7.75,TRUE,
10/16/13,58.18461538,58.68571429,33.4,4.4,9,1.6,140.5,1.44,0.5,4.4,9.25,TRUE,
10/17/13,62.64347826,62.8,39.8,35.8,10.5,1.4,359.35,1.31,6.5,35.6,10.75,TRUE,
10/18/13,65.65,58,37.6,27,7,1.4,304.4,1.29,6.5,26.3,7.25,TRUE,
10/19/13,57.9,53.55,31,3.4,9.25,1.4,155,1.38,23.75,3.3,9.5,FALSE,
10/20/13,59.00526316,51.05,2,1.8,9.5,1.6,34.05,1.39,0,1.7,9.5,FALSE,
10/21/13,55.24166667,52.3,19.2,19.2,6.5,1.6,86.3,1.35,6.25,15.7,6.5,TRUE,
10/22/13,58.16666667,57.5,4.8,4.2,10.25,1.6,54.9,1.57,0.25,4.2,10.75,TRUE,
10/23/13,53.9,49.675,34.6,34.6,6.25,1.8,157.05,1.46,6,23.2,6.5,TRUE,
10/24/13,47.025,42.325,20.4,20.4,6.25,2,209.9,1.5,6,20,6.25,TRUE,
10/25/13,45.33333333,41,26.6,21.4,7.25,26.6,218.3,1.86,5.5,20.8,7.5,TRUE,
10/26/13,46.925,42.325,22.2,22.2,8.5,1.8,127.4,1.53,1.25,18.7,8.5,FALSE,
10/27/13,51.38333333,47.725,8.8,6,10.75,1.8,52.1,1.69,23.75,3.9,10.75,FALSE,
10/28/13,49.09166667,44.975,22,22,6,1.8,164.1,1.65,5.75,21.2,6.25,TRUE,
10/29/13,52.39166667,44.8,16.4,16.4,7,15.4,186.05,1.84,5.75,16.1,8,TRUE,
10/30/13,49.225,49.6,18.2,18.2,6,4,165.95,1.88,5.75,16.2,8,TRUE,
10/31/13,56.56666667,58,36.4,21.2,7,1.6,207.1,1.62,6.5,16.4,7.25,TRUE,
11/1/13,64.71666667,68.55,38,32.6,7,1.8,394.3,1.6,6.5,32.6,7.75,TRUE,
11/2/13,62.06666667,56.45,30.2,2,10.25,1.4,123,1.38,0.75,2,10.5,FALSE,
11/3/13,55.45384615,46.5,12.2,2,9,2,61.85,1.625,5.25,1.9,9.75,FALSE,
11/4/13,37.90909091,35.8,36.6,36.6,6,29.4,268,2.12,5.75,34.4,6.25,TRUE,
11/5/13,42.30833333,44.3,29,29,6,2.2,223.75,2.08,5.75,28.2,6.25,TRUE,
11/6/13,51.07142857,52.25,13.4,13.4,6.25,2.2,157,1.9,6,12.8,7.25,TRUE,
11/7/13,58.28461538,62.03333333,40,40,7.75,1.6,329.6,1.61,6.5,38.2,7.75,TRUE,
11/8/13,45.175,41.225,29.4,29.4,6.25,1.8,206.35,2.1,6,25.3,6.5,TRUE,
11/9/13,42.34166667,39.225,21.6,21.6,8.25,2.6,181.65,3.27,0.75,20.7,8.25,FALSE,
11/10/13,47.36666667,45.775,8,7,10.75,2,62.25,1.88,0,5,10.75,FALSE,
11/11/13,48.16666667,43.775,33.2,33.2,6,14,221.25,1.89,5.75,26.1,6.25,TRUE,
11/12/13,51.36666667,35.89,50.2,50.2,7.5,2.2,271.15,1.95,6.25,38.4,7.75,TRUE,
11/13/13,32.075,29.175,27.8,27.8,6.25,5.6,357.55,7.37,6,27.8,6.5,TRUE,
11/14/13,35.43333333,34.325,23.8,23.8,6.75,23.6,307.95,5.8,6.5,23.4,6.75,TRUE,
11/15/13,47.66666667,46.25,18,18,7.25,2.2,200.2,2.3,6.5,17.8,7.25,TRUE,
11/16/13,51.61666667,46.95,21.4,21.4,8.25,2.2,128.55,2.35,23.75,18.2,8.5,FALSE,
11/17/13,51.49375,53.01666667,6.8,6.8,10.5,2.2,64.3,2.03,0,6,10.5,FALSE,
11/18/13,58.80588235,59,33.8,33.8,6.75,6.4,349.25,2.01,6.5,33.8,7,TRUE,
11/19/13,52.61666667,43.55,31.2,25,6,18.4,226.3,1.94,5.75,21,6.25,TRUE,
11/20/13,36.85,32.775,27.2,25.6,6.5,9.4,331.7,5,3.5,25.6,6.75,TRUE,
11/21/13,37.40833333,38.225,26,23,7.5,26,292.1,3.25,5.25,22.5,7.75,TRUE,3
11/22/13,51.01764706,52.02857143,17.4,17.4,7.5,2.4,217.65,2.72,6.25,15.6,7.75,TRUE,3
11/23/13,52.69285714,39.725,38.6,38.6,8.5,2.4,189.2,2.36,0,33.6,8.5,FALSE,3
11/24/13,32.46666667,23.55,23.6,17.4,8,7.6,236,6.54,5.5,16.7,8.25,FALSE,3
11/25/13,24.45833333,23.5,30.6,30.6,6.75,27.8,418.7,9.98,6.5,30,7,TRUE,3
11/26/13,33.71666667,35.8,28.6,24,6.5,28.6,376.9,5.91,5.25,23.7,6.75,TRUE,3
11/27/13,48.70666667,59.82727273,23.8,15.4,9.75,2.6,248.65,3.85,6.25,14.3,9.75,TRUE,3
11/28/13,35.52307692,30.5,19.4,5.6,6.75,4.8,190.25,8.25,0,5.1,6.75,TRUE,3
11/29/13,32.45833333,31.725,28.8,28.8,6.75,11.2,308.3,5.73,6.5,28.1,7,TRUE,3
11/30/13,30.08333333,26.3,24.2,24.2,9.5,6.2,324.55,9.4,0.5,22.9,8.25,FALSE,3
12/1/13,37.27647059,39.28571429,12,6.8,10.5,3,112.45,2.98,0,6.7,10.5,FALSE,3
12/2/13,45.09166667,43.275,23,23,7,22.8,264.25,4.14,5.25,22.7,7.25,TRUE,3
12/3/13,42.18333333,39.675,24.2,22.2,7.25,24.2,278.45,2.71,5.5,21.5,7.5,TRUE,3
12/4/13,44.54166667,42.05,21.8,21.8,6,8.8,251.3,2.83,5.75,20.1,7,TRUE,3
12/5/13,49.0875,49.55555556,15.2,15.2,7.25,2.6,198.95,2.48,6.25,14.8,7.5,TRUE,3
12/6/13,59.5,55.14444444,17.6,17.6,10.75,2,197.5,2.24,6.5,17.2,10.75,TRUE,3
12/7/13,37.86153846,36.66666667,38.2,38.2,8.25,3,222.5,2.87,23.75,28.6,9,FALSE,3
12/8/13,32.81666667,29.675,30,11,10.75,6.4,167.15,5.39,3.5,10.6,10.75,FALSE,3
12/9/13,31.24615385,34.26363636,27,27,7.25,27,387.25,7.86,5.5,26.8,7.5,TRUE,3
12/10/13,37.43076923,34.6375,28,25.2,6.75,28,361,3.33,4.75,24.6,9.5,TRUE,3
12/11/13,30.23333333,27.25,28.4,28.4,6.75,13.2,405.9,6.66,6.5,27.8,7,TRUE,3
12/12/13,29.4,23.55,27.8,27.8,6.75,21.6,422.3,6.69,6.5,27.5,8,TRUE,3
12/13/13,24.125,25.55,39.6,30.4,6.75,39.6,412.65,6.21,5.5,30.4,7,TRUE,3
12/14/13,32.5,25.81666667,29.8,29.8,8.75,5.8,320.25,5.84,0,27.8,9,FALSE,3
12/15/13,30.62580645,31,14.8,8.4,10.75,5.6,213.8,7.31,0,7.7,10.75,FALSE,3
12/16/13,34.65454545,27.25,30,28,9.75,30,494.1,17.58,5.25,27.7,10,TRUE,3
12/17/13,26.86666667,25.64545455,27.8,27.8,8.5,26.8,487.55,12.7,5.25,27.8,9.75,TRUE,3
12/18/13,24.55,25.775,34.2,29.4,6.75,34.2,475.8,15.91,5.5,28.4,7,TRUE,3
12/19/13,32.48333333,33.5,35.2,29.2,6.75,31.6,347.5,7.87,5.5,27.9,7,TRUE,3
12/20/13,44.85,43.3,21.8,21.8,6.75,2.8,260.3,2.77,6.5,21.3,8,TRUE,3
12/21/13,52.05,53.325,27.2,27.2,8,2.4,165.2,3.04,0.5,17,8.25,FALSE,3
12/22/13,62.66153846,65.75,4.2,2.2,6,2.2,55.9,2.15,23.75,2.2,8,FALSE,3
