,0,1,2,3,4,5,6,7,8
0,23,15,16,6,2,1,0.02,0.041666667,0.1
1,22,25,25,6,4,3,0.02,0.041666667,0.1
2,47,62,45,30,10,6,0.02,2,0.1
3,20,83,85,51,22,14,2,2,0.1
4,3,25,71,90,57,23,3,3,2
5,1,9,31,59,44,36,13,1,1
6,1,3,12,30,37,28,12,5,3
7,0.008547009,1,1,5,16,9,12,4,2
8,0.008547009,0.004484305,0.003496503,1,4,7,5,5,2
