,nightTemp,peak,superPeak,totalUsage,pumpTime,valid_days,season
535,38.368749999999999,18.57,17.109999999999999,213.72499999999999,4.25,True,0.0
536,50.611764710000003,15.69,15.69,81.739999999999995,5.25,True,0.0
537,48.240118639999999,13.9786,12.372400000000001,150.7953,6.0,True,
538,40.384343749999999,33.307499999999997,33.307499999999997,223.97208500000002,5.75,True,
539,48.77254902,28.079999999999998,17.989999999999998,223.91,4.75,True,0.0
540,38.887500000000003,31.932827000000003,24.688997270000002,268.63139630000001,5.25,True,
541,26.443750000000001,30.079999999999998,23.460000000000001,317.65750000000003,5.5,True,0.0
542,37.041666669999998,17.949999999999999,16.690000000000001,303.50749999999999,6.25,True,0.0
543,53.541379310000003,16.634368900000002,16.634368900000002,192.6899981,6.25,True,2.0
544,56.2907218,32.625252000000003,12.784535,222.60064879999999,0.25,True,
545,35.205555560000001,27.030000000000001,19.440000000000001,292.56,5.5,True,0.0
546,44.554785709999997,20.3003,20.3003,231.37193250000001,6.5,True,3.0
547,42.115789470000003,26.041,26.041,259.27736749999997,4.0,True,3.0
548,44.988235289999999,12.083491329999999,12.083491329999999,242.13883010000001,4.0,True,
549,42.068750000000001,23.959608079999999,23.959608079999999,258.68848680000002,6.25,True,2.0
550,42.012500000000003,25.78850555,19.642086030000002,274.04696819999998,5.25,True,
551,47.239379309999997,15.409000000000001,15.409000000000001,199.43673749999999,6.0,True,3.0
552,26.387499999999999,28.912498469999999,28.912498469999999,398.93059970000002,6.5,True,2.0
553,41.73251613,23.209299999999999,22.436399999999999,269.94870499999996,5.5,True,3.0
554,43.00588235,26.48,20.760000000000002,227.00749999999999,5.0,True,1.0
555,35.496721309999998,33.361800000000002,33.361800000000002,375.82136250000002,6.5,True,3.0
556,39.100000000000001,25.41167068,17.992258069999998,260.13453390000001,5.0,True,2.0
557,50.924242419999999,14.300000000000001,11.75,155.08250000000001,5.75,True,1.0
558,37.352631580000001,34.633415220000003,18.024627689999999,241.2769954,5.0,True,2.0
559,48.495454549999998,13.56,13.56,156.17250000000001,5.75,True,
560,37.733333330000001,26.965059279999998,24.834629060000001,313.09542240000002,5.0,True,2.0
561,38.931249999999999,26.797483440000001,26.797483440000001,258.39269999999999,5.75,True,
562,59.091666670000002,44.240000000000002,33.799999999999997,461.99000000000001,6.0,True,
563,32.412500000000001,25.59671402,25.59671402,339.22184129999999,6.5,True,2.0
564,35.53125,31.911449430000001,31.911449430000001,279.6663643,3.25,True,
565,37.18,23.348022459999999,23.348022459999999,560.35253899999998,23.75,True,1.0
566,42.478622999999999,27.06840897,27.06840897,244.29240519999996,6.25,True,
567,26.03125,33.60455322,28.146139139999999,419.35376819999999,5.25,True,2.0
568,31.735714290000001,28.019600000000001,28.019600000000001,468.73017999999996,5.25,True,3.0
569,43.00588235,26.48,20.760000000000002,227.00749999999999,5.0,True,1.0
570,26.15483871,27.050000000000001,24.510000000000002,338.9325,5.5,True,0.0
571,44.438888890000001,14.14775944,12.844524379999999,179.087256,5.5,True,1.0
572,38.918750000000003,21.515871050000001,21.077241900000001,258.15309229999997,5.0,True,1.0
573,54.061403509999998,20.8598,18.127300000000002,261.75159500000001,6.5,True,3.0
574,47.239379309999997,15.409000000000001,15.409000000000001,199.43673749999999,6.0,True,3.0
575,43.479999999999997,19.48332787,16.382919309999998,251.09505959999998,5.25,True,1.0
576,37.700000000000003,27.081081390000001,27.081081390000001,284.39301010000003,6.5,True,2.0
577,37.700000000000003,27.081081390000001,27.081081390000001,284.39301010000003,6.5,True,2.0
578,35.589473679999998,26.26860237,26.26860237,307.23758780000003,6.25,True,2.0
579,48.46875,13.37746239,13.37746239,153.61523439999999,5.75,True,
580,48.045454550000002,26.73,22.43,205.89500000000001,5.5,True,
581,28.074999999999999,27.539999999999999,24.59,321.78250000000003,5.5,True,0.0
