custID2	custName2	Textbox11	Textbox14	Group1	Textbox37	Textbox38	meternum	datetimeread	kwh	kw
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	3:45 PM	8	32
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	4:00 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	4:15 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	4:30 PM	8	32
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	4:45 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	5:00 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	5:15 PM	8	32
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	5:30 PM	8	32
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	5:45 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	6:00 PM	7	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	6:15 PM	7	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	6:30 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	6:45 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	7:00 PM	7	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	7:15 PM	6	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	7:30 PM	7	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	7:45 PM	7	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	8:00 PM	6	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	8:15 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	8:30 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	8:45 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	9:00 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	9:15 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	9:30 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	9:45 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	10:00 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	10:15 PM	5	22
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	10:30 PM	6	22
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	10:45 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/1/2012	1136	34	345P11	11:00 PM	5	22
