custID2	custName2	Textbox11	Textbox14	Group1	Textbox37	Textbox38	meternum	datetimeread	kwh	kw
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		2:30 PM	91	362
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		2:45 PM	91	364
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		3:00 PM	89	360
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		3:15 PM	89	356
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		3:30 PM	92	362
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		3:45 PM	90	364
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		4:00 PM	89	358
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		4:15 PM	89	356
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		4:30 PM	92	362
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		4:45 PM	87	358
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		5:00 PM	87	348
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		5:15 PM	88	350
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		5:30 PM	84	344
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		5:45 PM	82	332
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		6:00 PM	82	328
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		6:15 PM	82	328
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		6:30 PM	79	322
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		6:45 PM	76	310
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		7:00 PM	75	302
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		7:15 PM	73	296
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		7:30 PM	72	290
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		7:45 PM	70	284
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		8:00 PM	73	286
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		8:15 PM	71	288
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		8:30 PM	71	284
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		8:45 PM	68	278
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		9:00 PM	66	268
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		9:15 PM	70	272
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		9:30 PM	65	270
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		9:45 PM	69	268
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		10:00 PM	67	272
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		10:15 PM	66	266
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		10:30 PM	65	262
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		10:45 PM	65	260
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		11:00 PM	67	264
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		11:15 PM	65	264
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		11:30 PM	68	266
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		11:45 PM	68	272
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		12:00 AM	62	244
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		12:15 AM	60	244
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		12:30 AM	58	236
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		12:45 AM	53	222
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		1:00 AM	52	210
