80 Pine #15 Gate 01,5,In
80 Pine #15 Gate 02,10,In
80 Pine #15 Gate 03,10,In
80 Pine #15 Gate 04,73,In
80 Pine #15 Trnstle 01,1170,In
80 Pine #15 Trnstle 02,765,In
80 Pine #15 Trnstle 03,1362,In
80 Pine #15 Trnstle 04,59,In
80 Pine #15 Trnstle 05,371,In
80 Pine #15 Trnstle 06,364,In
80 Pine #15 Trnstle 07,239,In
80 Pine #15 Trnstle 08,200,In
80 Pine #15 Trnstle 09,253,In
80 Pine #15 Trnstle 10,735,In
80 Pine #15 Trnstle 11,605,In
80 Pine #15 Trnstle 12,880,In
80 Pine TS01 Out,333,Out
80 Pine TS02 Out,1010,Out
80 Pine TS03 Out,759,Out
80 Pine TS04 Out,41,Out
80 Pine TS05 Out,243,Out
80 Pine TS06 Out,211,Out
80 Pine TS07 Out,60,Out
80 Pine TS08 Out,222,Out
80 Pine TS09 Out,217,Out
80 Pine TS10 Out,285,Out
80 Pine TS11 Out,690,Out
80 Pine TS12 Out,482,Out
Istar34 Rex01,2,In
Istar34 Rex02,44,In
Istar34 Rex03,31,In
Istar35 Rex01,1,In
Istar36 Rex01,60,In
Istar36 Rex07,38,In
80 Pine TS 09 IN (3rd Party),0,In
