41 Mad #06 Gate 01,7,In
41 Mad #06 Gate 02,88,In
41 Mad #06 Gate 03,130,In
41 Mad #06 Gate 04,171,In
41 Mad #06 Trnstle 01,37,In
41 Mad #06 Trnstle 02,58,In
41 Mad #06 Trnstle 03,301,In
41 Mad #06 Trnstle 04,18,In
41 Mad #06 Trnstle 05,75,In
41 Mad #06 Trnstle 06,592,In
41 Mad #06 Trnstle 07,76,In
41 Mad #06 Trnstle 08,304,In
41 Mad #06 Trnstle 09,1277,In
41 Mad #06 Trnstle 10,32,In
41 Mad #06 Trnstle 11,1167,In
41 Mad #06 Trnstle 12,140,In
41 Madison TS 01 Out,21,Out
41 Madison TS 02 Out,167,Out
41 Madison TS 03 Out,77,Out
41 Madison TS 04 Out,0,Out
41 Madison TS 05 Out,2,Out
41 Madison TS 06 Out,2,Out
41 Madison TS 07 Out,1,Out
41 Madison TS 08 Out,1,Out
41 Madison TS 09 Out,2,Out
41 Madison TS 10 Out,0,Out
41 Madison TS 11 Out,11,Out
41 Madison TS 12 Out,11,Out
