"on_for","today_on_time","totalmw","today_kwh","-","today_standby_time","name","current_power","device","total_mw"
"515","515","1013386408","0.014147200282944","-","515","2015-06-15 13:56:02","102960","refrigerator",""
"17452","8295","792758481","0.19862285397246","-","8295","2015-06-13 02:18:02","95660","refrigerator",""
"14035","4870","671622422","0.11667806900023","-","4870","2015-06-12 01:21:01","96000","refrigerator",""
"26911","42453","","1.0187598203752","-","42453","2015-06-10 12:42:01","205","",""
"18052","35804","716375949","0.86257020058474","-","35804","2015-06-12 10:28:01","93915","refrigerator",""
"2151","73733","770845222","1.7703914354078","-","73733","2015-06-12 22:03:02","97950","refrigerator",""
"19348","7983","","0.19100373715341","-","7983","2015-06-10 02:13:01","95885","",""
"1075","43531","","1.0472587376118","-","43531","2015-06-11 13:45:02","102215","refrigerator",""
"8128","77493","","1.8610232372205","-","77493","2015-06-09 23:06:02","95815","",""
"14906","18404","","0.47826422623195","-","18404","2015-06-08 16:59:04","96880","",""
"5128","74493","","1.7891112524489","-","74493","2015-06-09 22:16:01","96065","",""
"9448","51902","","1.2452152249043","-","51902","2015-06-09 15:28:01","94120","",""
"16168","58622","","1.4059803947863","-","58622","2015-06-09 17:20:01","94380","",""
"8510","26263","818918702","0.63462654602586","-","26263","2015-06-13 07:49:02","94475","refrigerator",""
"13289","55743","","1.3365483433976","-","55743","2015-06-09 16:32:01","93635","",""
"5936","48392","","1.1677767733555","-","48392","2015-06-11 15:06:02","95145","refrigerator",""
"21469","39222","837241893","0.94001306880026","-","39222","2015-06-13 11:25:01","94410","refrigerator",""
"18769","36522","833354646","0.87522561750451","-","36522","2015-06-13 10:40:01","94920","refrigerator",""
"16014","6849","674510788","0.16481750329635","-","6849","2015-06-12 01:54:01","95125","refrigerator",""
"26911","42453","","1.0187163203743","-","42453","2015-06-10 12:27:01","220","",""
"4852","22604","697648069","0.55043886100878","-","22604","2015-06-12 06:48:01","94915","refrigerator",""
"8603","12101","","0.31279442292255","-","12101","2015-06-08 15:14:01","100120","",""
"9807","79172","","1.9024246047152","-","79172","2015-06-09 23:34:01","95360","",""
"13256","55712","631362117","1.3425093268502","-","55712","2015-06-11 17:08:02","95370","refrigerator",""
"11934","2769","668549895","0.065469284642719","-","2769","2015-06-12 00:46:01","95800","refrigerator",""
"5696","48152","","1.1614075065615","-","48152","2015-06-11 15:02:02","95780","refrigerator",""
"15651","60324","751453819","1.447201378944","-","60324","2015-06-12 17:48:01","94745","refrigerator",""
"18453","33996","","0.81612263298912","-","33996","2015-06-11 09:58:01","94975","",""
"1074","70442","652866458","1.7009150173516","-","70442","2015-06-11 21:45:01","100715","refrigerator",""
"9415","250","664910345","0.004810116762869","-","250","2015-06-12 00:04:02","95935","refrigerator",""
"22737","65193","645017618","1.5701010147354","-","65193","2015-06-11 19:46:02","95795","refrigerator",""
"2067","71432","","1.7149526176324","-","71432","2015-06-09 21:25:01","97030","",""
"752","16294","","0.39400612454679","-","16294","2015-06-10 05:03:01","100180","",""
"1311","19063","692394798","0.46288434259102","-","19063","2015-06-12 05:49:01","98890","refrigerator",""
"23696","14531","685677969","0.35093719035208","-","14531","2015-06-12 04:02:02","95820","refrigerator",""
"1288","70653","","1.6952839505723","-","70653","2015-06-09 21:12:02","98700","",""
"17733","33275","","0.79988439933102","-","33275","2015-06-10 09:46:01","94395","",""
"10254","1089","666155278","0.02555900051118","-","1089","2015-06-12 00:18:01","96000","refrigerator",""
"12569","55023","","1.3191471263829","-","55023","2015-06-09 16:20:01","95025","",""
"26912","69368","651102702","1.6715190834304","-","69368","2015-06-11 21:22:02","210","refrigerator",""
"3830","21583","812159238","0.52196881043938","-","21583","2015-06-13 06:31:02","96060","refrigerator",""
"3474","72842","656426800","1.7602540518717","-","72842","2015-06-11 22:25:01","97560","refrigerator",""
"9655","52111","","1.2566188751324","-","52111","2015-06-11 16:08:01","95405","refrigerator",""
"4251","48924","735279278","1.1776256902192","-","48924","2015-06-12 14:38:02","94105","refrigerator",""
"11607","242","","0.006375650127513","-","242","2015-06-10 00:04:01","95680","",""
"15231","6074","789513736","0.14454376955754","-","6074","2015-06-13 01:41:02","95075","refrigerator",""
"22371","13214","799838347","0.31662062299908","-","13214","2015-06-13 03:40:02","96005","refrigerator",""
"26913","42456","","1.0177116536876","-","42456","2015-06-11 12:51:02","0","refrigerator",""
"26250","14885","","0.35633960712679","-","14885","2015-06-10 04:08:04","95300","",""
"10495","1330","666539581","0.031964050639281","-","1330","2015-06-12 00:22:02","96060","refrigerator",""
"14313","29855","","0.71819858103064","-","29855","2015-06-10 08:49:01","94160","",""
"11632","29384","707282028","0.71100484755343","-","29384","2015-06-12 08:41:01","94120","refrigerator",""
"26911","42453","","1.0175167703503","-","42453","2015-06-10 12:19:01","1120","",""
"3110","20863","811193777","0.50587779345089","-","20863","2015-06-13 06:19:02","96525","refrigerator",""
"26913","42456","","1.0177116536876","-","42456","2015-06-11 13:21:01","0","refrigerator",""
"4884","8382","","0.2200551044011","-","8382","2015-06-08 14:12:01","100710","",""
"21775","78556","","1.9064886547964","-","78556","2015-06-05 17:24:00","95640","",""
"14633","32385","711494233","0.78120826562417","-","32385","2015-06-12 09:31:02","94105","refrigerator",""
"7890","50343","","1.2123275575799","-","50343","2015-06-10 15:02:01","94995","",""
"12052","29804","707842172","0.72034058107348","-","29804","2015-06-12 08:48:01","93590","refrigerator",""
"25617","68073","649220238","1.6401446828029","-","68073","2015-06-11 20:34:02","95850","refrigerator",""
"11033","28784","706438407","0.69694449727222","-","28785","2015-06-12 08:31:03","93690","refrigerator",""
"26912","69368","651099209","1.6714608667625","-","69368","2015-06-11 21:03:02","180","refrigerator",""
"15327","3962","","0.095539568577458","-","3962","2015-06-10 01:06:01","95065","",""
"8","44673","728943617","1.0720313381073","-","44673","2015-06-12 13:27:02","175","refrigerator",""
"26912","69368","651102912","1.6715225834305","-","69368","2015-06-11 21:23:02","235","refrigerator",""
"15386","18884","","0.4911549098231","-","18884","2015-06-08 17:07:03","96775","",""
"15709","33462","829055383","0.80357123273809","-","33462","2015-06-13 09:49:01","93485","refrigerator",""
"4948","74313","","1.7842996690193","-","74313","2015-06-09 22:13:01","96475","",""
"22953","38496","","0.92314213512951","-","38496","2015-06-11 11:13:01","93190","refrigerator",""
"20515","11350","681056814","0.27391793881169","-","11350","2015-06-12 03:09:01","96485","refrigerator",""
"18475","9310","678069371","0.22412722114921","-","9310","2015-06-12 02:35:01","96485","refrigerator",""
"19911","64584","757519032","1.5482882642991","-","64584","2015-06-12 18:59:01","95270","refrigerator",""
"26910","17753","806415836","0.42624544185824","-","17753","2015-06-13 05:26:02","210","refrigerator",""
"20215","76996","","1.8683914540345","-","76996","2015-06-05 16:58:00","95140","",""
"23216","65672","645688065","1.5812751316255","-","65672","2015-06-11 19:54:01","95345","refrigerator",""
"18448","7083","","0.17030408673941","-","7083","2015-06-10 01:58:01","95665","",""
"14488","3123","","0.074862018163907","-","3123","2015-06-10 00:52:01","95870","",""
"23932","68605","763178508","1.6426128661856","-","68605","2015-06-12 20:06:01","94440","refrigerator",""
"23608","12243","","0.29435068922035","-","12243","2015-06-10 03:24:01","95520","",""
"13582","17080","","0.44579280891586","-","17080","2015-06-08 16:37:00","97880","",""
"7943","11441","","0.29635878926051","-","11441","2015-06-08 15:03:01","98685","",""
"21754","37297","","0.89504286790086","-","37297","2015-06-11 10:53:02","95010","refrigerator",""
"11909","544","","0.012735350254707","-","544","2015-06-10 00:09:02","95795","",""
"21056","63512","642623147","1.5301931639372","-","63512","2015-06-11 19:18:02","95580","refrigerator",""
"11990","29743","823809740","0.71614384765621","-","29743","2015-06-13 08:47:02","93875","refrigerator",""
"8968","51422","","1.2341995413507","-","51422","2015-06-09 15:20:01","94785","",""
"19496","61952","640337266","1.4920951465086","-","61952","2015-06-11 18:52:02","95025","refrigerator",""
"11990","2833","784839455","0.066639084666115","-","2833","2015-06-13 00:47:01","95145","refrigerator",""
"590","72172","768549263","1.7321254513092","-","72172","2015-06-12 21:37:02","102450","refrigerator",""
"11448","53901","","1.2960373425874","-","53901","2015-06-10 16:01:18","95405","",""
"3932","19474","","0.47217685944354","-","19474","2015-06-10 05:56:01","96715","",""
